step,theta_mean,theta_std,theta_min,theta_max,delta_mean,delta_std,z_mean,z_std,dni,dhi,sun_x,sun_y,sun_z
15,47.70199231464576,5.260765378076588,37.387417985160766,59.36999623450372,0.19265276974851298,0.37282315917345954,0.1841484,0.4409905,241.0,87.0,-60.2859992980957,479.114990234375,129.6719970703125
16,47.89464508439427,5.632845695309354,36.84474890412322,60.37190694930595,0.1675220038580899,0.33019456959549337,0.16293135,0.3905713,504.0,121.0,119.12999725341797,-423.6289978027344,237.375
17,48.06216708825236,5.9611202206700415,36.36889854696668,61.29777426081632,0.19826790549453824,0.37739453362395015,0.19060676,0.44539723,733.0,169.0,-179.5919952392578,-127.51399993896484,448.87298583984375
18,48.2604349937469,6.337259537697794,35.794162102894916,62.335622205131486,0.1461430506278232,0.3018582830262246,0.14206871,0.35950136,79.0,246.0,-168.10800170898438,-381.9849853515625,275.36700439453125
19,48.406578044374726,6.633999689193098,35.39607183075215,63.157620806338656,0.20211326946129116,0.3835056299675048,0.19317584,0.4529943,687.0,156.0,-142.06199645996094,251.12399291992188,408.35699462890625
20,48.60869131383601,7.014184580513761,34.8168839721625,64.19500674388009,0.1992816002192326,0.3783294572220578,0.19117065,0.44688135,820.0,120.0,-369.5710144042969,-134.27699279785156,308.8479919433594
21,48.80797291405525,7.390665562189845,34.23748847198881,65.2317664533973,0.19767193706287464,0.3790113020130597,0.18887499,0.44817352,476.0,102.0,-422.3280029296875,200.41000366210938,177.41200256347656
22,49.00564485111811,7.768362257764019,33.67381058235534,66.25448701381775,0.1975859489510456,0.37951092859374164,0.18917808,0.4482236,382.0,302.0,-192.16600036621094,252.16099548339844,386.635986328125
23,49.203230800069164,8.14710906266816,33.112537524397816,67.2816881455594,0.17665907390073163,0.34732356225231026,0.17053929,0.41118526,374.0,176.0,-350.5140075683594,-256.989013671875,247.177001953125
24,49.3798898739699,8.493897007423925,32.60850576182796,68.23540073404018,0.15664350294384474,0.3149060461062839,0.15248787,0.3734242,326.0,128.0,164.1580047607422,-401.39599609375,248.86399841308594
25,49.536533376913745,8.80499356807112,32.172293067549134,69.11172167188136,0.1965907987891329,0.37825461091145823,0.18832174,0.4466892,358.0,287.0,-136.5540008544922,243.98599243164062,414.5169982910156
26,49.73312417570287,9.182539487947995,31.614107772793247,70.13609916843478,0.19914394790095125,0.3799586642158881,0.19083592,0.44879237,642.0,188.0,-343.07501220703125,-4.583000183105469,363.7019958496094
27,49.93226812360383,9.56123139658941,31.03968750979587,71.17130105769118,0.18922626415100627,0.36866862904613995,0.1812775,0.43580207,117.0,269.0,-120.86699676513672,349.25299072265625,336.7690124511719
28,50.12149438775484,9.929712742562035,30.508285689745957,72.1650801850036,0.13917876690784498,0.29059023491767627,0.13540581,0.3466655,1.0,93.0,164.33900451660156,-398.2909851074219,253.68600463867188
29,50.260673154662676,10.212900662201763,30.13496709853489,72.9556804316966,0.19053983837580285,0.36625273457733304,0.18397145,0.43219265,609.0,243.0,-48.66400146484375,-202.1020050048828,454.7380065917969
30,50.45121299303848,10.578944464669876,29.585215790403545,73.97074547358648,0.19290820112276408,0.3725530416890678,0.18516481,0.44021174,420.0,250.0,-352.8160095214844,-4.855999946594238,354.2560119628906
31,50.64412119416124,10.951248364115733,29.032660662874726,74.98526809610921,0.17201419121273884,0.3364711262612465,0.16720554,0.39766124,585.0,107.0,101.88200378417969,-435.6409912109375,223.24200439453125
32,50.81613538537398,11.286248611499909,28.540125781255657,75.93100211853161,0.19517028351112498,0.37210888253636804,0.18817241,0.43897882,745.0,178.0,-50.340999603271484,-201.0679931640625,455.0140075683594
33,51.01130566888511,11.657738781031227,27.97307789777371,76.96225958322165,0.1959212261764822,0.3730446689322665,0.1888291,0.4400987,770.0,175.0,-74.61299896240234,-203.95799255371094,450.3710021972656
34,51.20722689506159,12.030084326115375,27.40331017983744,77.99567883387013,0.17817168885693463,0.346197837216962,0.1726721,0.40917724,637.0,94.0,-148.0240020751953,-429.3630065917969,209.1320037841797
35,51.38539858391853,12.375675981026822,26.889047326042988,78.9630054897459,0.20238450355972296,0.3828022523060813,0.19319195,0.45249695,812.0,113.0,-349.7510070800781,195.32200622558594,299.2049865722656
36,51.58778308747824,12.754808750428626,26.30762782724994,79.99655117823227,0.19786678469721247,0.37930335081014416,0.18889055,0.44861713,455.0,60.0,-385.4930114746094,298.8089904785156,110.03800201416016
37,51.785649872175455,13.132711673286533,25.745737430218735,81.01705139038393,0.19178547575030805,0.3698419892635701,0.18430223,0.4370871,532.0,168.0,-380.6730041503906,-136.9980010986328,293.802001953125
38,51.97743534792577,13.502427073368423,25.19274350944515,82.02892844582607,0.18125355084072242,0.35390341300230843,0.17481524,0.4186623,444.0,132.0,-336.989013671875,-252.13499450683594,269.93701171875
39,52.158688898766485,13.85612282544728,24.672835038185266,83.00161254454999,0.20191000821768224,0.383406234454919,0.1927366,0.4531016,651.0,137.0,-190.4340057373047,339.47100830078125,313.8380126953125
40,52.36059890698417,14.236789889331586,24.096147852497225,84.03488887594337,0.20063004296757567,0.3822153749933129,0.19138093,0.45188972,565.0,95.0,-194.6269989013672,418.5740051269531,192.13499450683594
41,52.56122894995175,14.616749248945592,23.52539090513575,85.06228854327111,0.19560207270942676,0.37593668196713287,0.18794465,0.44374377,477.0,310.0,-165.08999633789062,21.74799919128418,471.4580078125
42,52.75683102266118,14.992492784974875,22.96539271138161,86.08926830037376,0.1414269407733585,0.2937196259125809,0.1376715,0.35006583,54.0,141.0,147.03500366210938,-405.03900146484375,253.6219940185547
43,52.89825796343453,15.278697808036537,22.58364168358219,86.89176127260247,0.18440030617286832,0.3616359784556321,0.17651315,0.428144,29.0,62.0,-77.77100372314453,474.8919982910156,135.7550048828125
44,53.0826582696074,15.640075977428474,22.068475356963944,87.86180195231456,0.1834024505336684,0.35452780828769975,0.17759003,0.41863558,621.0,208.0,-80.1729965209961,-335.0299987792969,362.3909912109375
45,53.26606072014106,15.994149921414628,21.539257865804473,88.85070131357874,0.19357451467964296,0.37453607606134287,0.18528396,0.44257504,233.0,224.0,-109.11699676513672,343.19000244140625,346.8630065917969
46,53.459635234820716,16.36826858853118,20.99307017480013,89.86073508126256,0.18722390807373596,0.3656055607600398,0.17949525,0.43252727,201.0,184.0,-401.9540100097656,112.4520034790039,275.2950134277344
47,53.62774894003868,16.691735545469434,20.462941074910052,90.0,0.18460865818175287,0.3566224404992636,0.1782741,0.42151883,655.0,91.0,-292.4049987792969,-354.95098876953125,196.23800659179688
48,53.78182827719182,16.982332908639275,19.927717777928713,90.0,0.19193932937636865,0.3723174865733632,0.18399513,0.43985343,223.0,291.0,-139.14700317382812,249.86099243164062,410.1310119628906
49,53.931222628046996,17.264669411956067,19.38567939995003,90.0,0.1643662351661005,0.33146779549427285,0.15851936,0.39348853,15.0,175.0,-371.27899169921875,-134.61000061035156,306.64599609375
