U_Divisions,V_Divisions,t_parameter,Node_ID,Date_월일,Date_시간,Node_X,Node_Y,Node_Z,외피_ModuleShape_edge개수,외피_ModuleShape_둘레(m),외피_ModuleShape_면적(m2),열림각도,운동장_태양복사열,관중석_1 태양복사열,관중석_2 태양복사열,관중석 합산 태양복사열
42,86,0.65,0,2025-3-1,13:00,-350.015,-59.976,351.984,,,,,,,,
42,86,0.65,1,2025-3-1,13:00,0,0,0,,,,,,,,
42,86,0.65,2,2025-3-1,13:00,0,65.939,53.101,4,20.692,25.465,60.829,3002.492,1842.666,2908.634,4751.3
42,86,0.65,3,2025-3-1,13:00,-9.444,65.001,52.63,5,22.345,29.728,62.624,3002.492,1842.666,2908.634,4751.3
42,86,0.65,4,2025-3-1,13:00,-18.959,59.602,53.713,5,24.202,34.701,64.091,3002.492,1842.666,2908.634,4751.3
42,86,0.65,5,2025-3-1,13:00,-29.411,55.333,53.927,5,25.652,38.69,65.314,3002.492,1842.666,2908.634,4751.3
42,86,0.65,6,2025-3-1,13:00,-39.561,49.418,54.204,5,26.522,41.054,66.288,3002.492,1842.666,2908.634,4751.3
42,86,0.65,7,2025-3-1,13:00,-48.504,42.128,54.581,5,26.771,41.574,66.953,3002.492,1842.666,2908.634,4751.3
42,86,0.65,8,2025-3-1,13:00,-55.421,33.937,55.075,5,26.594,40.73,67.138,3002.492,1842.666,2908.634,4751.3
42,86,0.65,9,2025-3-1,13:00,-60.154,25.51,55.554,5,26.14,38.58,66.773,3002.492,1842.666,2908.634,4751.3
42,86,0.65,10,2025-3-1,13:00,-62.98,17.609,55.864,5,25.227,34.461,66.347,3002.492,1842.666,2908.634,4751.3
42,86,0.65,11,2025-3-1,13:00,-64.35,10.665,55.924,5,23.998,29.435,66.189,3002.492,1842.666,2908.634,4751.3
42,86,0.65,12,2025-3-1,13:00,-65.896,4.496,55.872,4,23.051,25.985,66.189,3002.492,1842.666,2908.634,4751.3
42,86,0.65,13,2025-3-1,13:00,-65.938,-1.497,55.847,4,22.838,25.274,66.217,3002.492,1842.666,2908.634,4751.3
42,86,0.65,14,2025-3-1,13:00,-64.585,-7.581,55.897,5,23.755,28.689,66.4,3002.492,1842.666,2908.634,4751.3
42,86,0.65,15,2025-3-1,13:00,-63.441,-14.683,55.911,5,25.659,36.276,66.9,3002.492,1842.666,2908.634,4751.3
42,86,0.65,16,2025-3-1,13:00,-60.661,-23.73,55.666,5,27.963,45.581,67.927,3002.492,1842.666,2908.634,4751.3
42,86,0.65,17,2025-3-1,13:00,-55.552,-34.318,55.156,5,29.14,49.846,69.302,3002.492,1842.666,2908.634,4751.3
42,86,0.65,18,2025-3-1,13:00,-47.787,-44.607,54.55,5,28.995,48.918,70.049,3002.492,1842.666,2908.634,4751.3
42,86,0.65,19,2025-3-1,13:00,-37.664,-52.695,54.123,5,27.743,44.86,69.321,3002.492,1842.666,2908.634,4751.3
42,86,0.65,20,2025-3-1,13:00,-26.771,-58.105,53.882,5,25.296,37.739,68.051,3002.492,1842.666,2908.634,4751.3
42,86,0.65,21,2025-3-1,13:00,-17.059,-61.181,53.718,5,21.966,28.482,66.778,3002.492,1842.666,2908.634,4751.3
42,86,0.65,22,2025-3-1,13:00,-9.376,-62.587,53.581,5,19.265,21.34,65.531,3002.492,1842.666,2908.634,4751.3
