U_Divisions,V_Divisions,t_parameter,Node_ID,Date_월일,Date_시간,Node_X,Node_Y,Node_Z,외피_ModuleShape_edge개수,외피_ModuleShape_둘레(m),외피_ModuleShape_면적(m2),열림각도,운동장_태양복사열,관중석_1 태양복사열,관중석_2 태양복사열,관중석 합산 태양복사열
42,86,0.65,0,2025-3-1,14:00,-367.85,66.608,332.039,,,,,,,,
42,86,0.65,1,2025-3-1,14:00,0,0,0,,,,,,,,
42,86,0.65,2,2025-3-1,14:00,0,65.939,53.101,4,20.692,25.465,0,1493.52,1324.057,1386.693,2710.75
42,86,0.65,3,2025-3-1,14:00,-9.444,65.002,52.63,5,22.345,29.728,0,1493.52,1324.057,1386.693,2710.75
42,86,0.65,4,2025-3-1,14:00,-19.871,62.49,52.731,5,24.202,34.701,0,1493.52,1324.057,1386.693,2710.75
42,86,0.65,5,2025-3-1,14:00,-30.765,58.185,52.813,5,25.652,38.69,0,1493.52,1324.057,1386.693,2710.75
42,86,0.65,6,2025-3-1,14:00,-41.356,52.11,52.873,5,26.522,41.054,0,1493.52,1324.057,1386.693,2710.75
42,86,0.65,7,2025-3-1,14:00,-50.733,44.499,52.906,5,26.771,41.574,0,1493.52,1324.057,1386.693,2710.75
42,86,0.65,8,2025-3-1,14:00,-58.023,35.815,52.905,5,26.594,40.73,0,1493.52,1324.057,1386.693,2710.75
42,86,0.65,9,2025-3-1,14:00,-62.969,26.862,52.858,5,26.14,38.58,0,1493.52,1324.057,1386.693,2710.75
42,86,0.65,10,2025-3-1,14:00,-65.872,18.446,52.773,5,25.227,34.461,0,1493.52,1324.057,1386.693,2710.75
42,86,0.65,11,2025-3-1,14:00,-67.218,11.041,52.681,5,23.998,29.435,0,1493.52,1324.057,1386.693,2710.75
42,86,0.65,12,2025-3-1,14:00,-68.244,4.56,53.163,4,23.051,25.985,0,1493.52,1324.057,1386.693,2710.75
42,86,0.65,13,2025-3-1,14:00,-68.272,-1.51,53.146,4,22.838,25.274,0,1493.52,1324.057,1386.693,2710.75
42,86,0.65,14,2025-3-1,14:00,-67.431,-7.836,52.647,5,23.755,28.689,0,1493.52,1324.057,1386.693,2710.75
42,86,0.65,15,2025-3-1,14:00,-66.354,-15.383,52.739,5,25.659,36.276,0,1493.52,1324.057,1386.693,2710.75
42,86,0.65,16,2025-3-1,14:00,-63.569,-24.921,52.851,5,27.963,45.581,0,1493.52,1324.057,1386.693,2710.75
42,86,0.65,17,2025-3-1,14:00,-58.323,-36.053,52.929,5,29.14,49.846,0,1493.52,1324.057,1386.693,2710.75
42,86,0.65,18,2025-3-1,14:00,-50.155,-46.979,52.941,5,28.995,48.918,0,1493.52,1324.057,1386.693,2710.75
