U_Divisions,V_Divisions,t_parameter,Node_ID,Date_월일,Date_시간,Node_X,Node_Y,Node_Z,외피_ModuleShape_edge개수,외피_ModuleShape_둘레(m),외피_ModuleShape_면적(m2),열림각도,운동장_태양복사열,관중석_1 태양복사열,관중석_2 태양복사열,관중석 합산 태양복사열
42,86,0.65,0,2025-3-1,17:00,-293.822,381.607,134.329,,,,,,,,
42,86,0.65,1,2025-3-1,17:00,0,0,0,,,,,,,,
42,86,0.65,2,2025-3-1,17:00,0,65.939,53.101,4,20.692,25.465,56.839,305.022,602.26,1033.871,1636.131
42,86,0.65,3,2025-3-1,17:00,-9.444,65.001,52.63,5,22.345,29.728,54.747,305.022,602.26,1033.871,1636.131
42,86,0.65,4,2025-3-1,17:00,-19.06,59.921,53.605,5,24.202,34.701,53.176,305.022,602.26,1033.871,1636.131
42,86,0.65,5,2025-3-1,17:00,-29.588,55.705,53.781,5,25.652,38.69,52.269,305.022,602.26,1033.871,1636.131
42,86,0.65,6,2025-3-1,17:00,-39.806,49.786,54.023,5,26.522,41.054,52.396,305.022,602.26,1033.871,1636.131
42,86,0.65,7,2025-3-1,17:00,-48.782,42.423,54.373,5,26.771,41.574,53.89,305.022,602.26,1033.871,1636.131
42,86,0.65,8,2025-3-1,17:00,-55.672,34.119,54.865,5,26.594,40.73,56.582,305.022,602.26,1033.871,1636.131
42,86,0.65,9,2025-3-1,17:00,-60.339,25.599,55.377,5,26.14,38.58,59.317,305.022,602.26,1033.871,1636.131
42,86,0.65,10,2025-3-1,17:00,-63.099,17.644,55.736,5,25.227,34.461,61.495,305.022,602.26,1033.871,1636.131
42,86,0.65,11,2025-3-1,17:00,-64.425,10.675,55.839,5,23.998,29.435,63.03,305.022,602.26,1033.871,1636.131
42,86,0.65,12,2025-3-1,17:00,-65.939,4.497,55.823,4,23.051,25.985,63.937,305.022,602.26,1033.871,1636.131
42,86,0.65,13,2025-3-1,17:00,-65.976,-1.497,55.803,4,22.838,25.274,64.21,305.022,602.26,1033.871,1636.131
42,86,0.65,14,2025-3-1,17:00,-64.62,-7.584,55.858,5,23.755,28.689,64.856,305.022,602.26,1033.871,1636.131
42,86,0.65,15,2025-3-1,17:00,-63.463,-14.688,55.887,5,25.659,36.276,65.935,305.022,602.26,1033.871,1636.131
42,86,0.65,16,2025-3-1,17:00,-60.679,-23.737,55.649,5,27.963,45.581,67.078,305.022,602.26,1033.871,1636.131
42,86,0.65,17,2025-3-1,17:00,-55.564,-34.325,55.147,5,29.14,49.846,68.714,305.022,602.26,1033.871,1636.131
42,86,0.65,18,2025-3-1,17:00,-47.765,-44.585,54.565,5,28.995,48.918,71.522,305.022,602.26,1033.871,1636.131
42,86,0.65,19,2025-3-1,17:00,-37.608,-52.601,54.163,5,27.743,44.86,74.926,305.022,602.26,1033.871,1636.131
42,86,0.65,20,2025-3-1,17:00,-26.712,-57.947,53.938,5,25.296,37.739,77.361,305.022,602.26,1033.871,1636.131
42,86,0.65,21,2025-3-1,17:00,-17.013,-60.976,53.786,5,21.966,28.482,79.137,305.022,602.26,1033.871,1636.131
42,86,0.65,22,2025-3-1,17:00,-9.352,-62.343,53.66,5,19.265,21.34,80.74,305.022,602.26,1033.871,1636.131
42,86,0.65,23,2025-3-1,17:00,-3.036,-63.42,53.978,4,17.906,17.932,81.799,305.022,602.26,1033.871,1636.131
42,86,0.65,24,2025-3-1,17:00,3.036,-63.419,53.979,4,17.906,17.932,82.006,305.022,602.26,1033.871,1636.131
42,86,0.65,25,2025-3-1,17:00,9.112,-59.922,54.44,5,19.265,21.34,83.042,305.022,602.26,1033.871,1636.131
42,86,0.65,26,2025-3-1,17:00,17.746,-64.209,52.713,5,21.966,28.482,84.52,305.022,602.26,1033.871,1636.131
42,86,0.65,27,2025-3-1,17:00,27.92,-61.154,52.803,5,25.296,37.739,85.966,305.022,602.26,1033.871,1636.131
42,86,0.65,28,2025-3-1,17:00,39.415,-55.618,52.867,5,27.743,44.86,87.062,305.022,602.26,1033.871,1636.131
42,86,0.65,29,2025-3-1,17:00,50.254,-47.078,52.873,5,28.995,48.918,85.556,305.022,602.26,1033.871,1636.131
42,86,0.65,30,2025-3-1,17:00,58.475,-36.148,52.808,5,29.14,49.846,82.308,305.022,602.26,1033.871,1636.131
42,86,0.65,31,2025-3-1,17:00,63.692,-24.972,52.732,5,27.963,45.581,79.707,305.022,602.26,1033.871,1636.131
42,86,0.65,32,2025-3-1,17:00,66.413,-15.397,52.675,5,25.659,36.276,77.915,305.022,602.26,1033.871,1636.131
42,86,0.65,33,2025-3-1,17:00,67.449,-7.838,52.627,5,23.755,28.689,76.655,305.022,602.26,1033.871,1636.131
42,86,0.65,34,2025-3-1,17:00,68.273,-1.51,53.144,4,22.838,25.274,76.041,305.022,602.26,1033.871,1636.131
42,86,0.65,35,2025-3-1,17:00,68.249,4.56,53.157,4,23.051,25.985,75.894,305.022,602.26,1033.871,1636.131
42,86,0.65,36,2025-3-1,17:00,67.244,11.044,52.651,5,23.998,29.435,75.251,305.022,602.26,1033.871,1636.131
42,86,0.65,37,2025-3-1,17:00,65.938,18.465,52.703,5,25.227,34.461,74.228,305.022,602.26,1033.871,1636.131
42,86,0.65,38,2025-3-1,17:00,63.072,26.911,52.758,5,26.14,38.58,72.878,305.022,602.26,1033.871,1636.131
42,86,0.65,39,2025-3-1,17:00,58.13,35.893,52.816,5,26.594,40.73,70.9,305.022,602.26,1033.871,1636.131
42,86,0.65,40,2025-3-1,17:00,48.484,42.106,54.597,5,26.771,41.574,68.203,305.022,602.26,1033.871,1636.131
42,86,0.65,41,2025-3-1,17:00,39.571,49.432,54.197,5,26.522,41.054,65.62,305.022,602.26,1033.871,1636.131
42,86,0.65,42,2025-3-1,17:00,30.78,58.217,52.8,5,25.652,38.69,63.324,305.022,602.26,1033.871,1636.131
42,86,0.65,43,2025-3-1,17:00,19.878,62.512,52.724,5,24.202,34.701,61.192,305.022,602.26,1033.871,1636.131
