x,y,z,theta_init
-70.172,-36.93,74.853,58.612
-58.237,-48.109,74.489,64.239
-44.719,-56.911,73.944,70.038
-31.401,-62.839,73.333,74.173
-19.949,-66.209,72.711,76.88
-10.981,-67.668,72.157,78.422
-3.548,-68.055,71.814,78.663
3.548,-68.058,71.813,78.498
10.983,-67.682,72.152,77.51
20.915,-70.278,70.973,75.199
32.892,-66.797,71.515,72.034
46.763,-60.63,71.933,67.701
60.852,-51.381,72.038,61.925
73.143,-39.64,71.756,56.49
82.176,-27.514,71.277,52.031
87.275,-17.012,70.779,47.485
89.092,-8.679,70.359,43.101
89.327,-1.668,70.134,40.554
89.335,5.029,70.213,39.616
88.817,12.19,70.541,36.542
86.469,20.329,70.973,32.028
81.217,29.574,71.396,27.609
71.682,37.991,73.174,23.503
61.405,47.466,72.854,19.57
49.362,55.832,72.463,16.285
36.864,63.577,71.491,13.661
23.71,68.336,71.003,11.556
11.263,71.099,70.388,9.995
-5.647,72.693,74.499,11.283
-17.891,70.78,75.276,12.916
-31.161,66.774,75.968,14.905
-44.835,60.782,76.544,17.189
-58.152,53.021,76.99,19.907
-70.26,43.853,77.319,23.202
-80.301,33.923,77.56,26.875
-87.487,24.21,77.774,30.874
-91.324,15.654,77.967,35.626
-92.526,8.39,77.936,39.767
-92.575,1.68,77.832,41.956
-92.462,-5.015,78.025,43.264
-91.342,-12.074,78.613,47.28
-87.567,-20.809,79.02,52.248
-79.704,-31.96,79.069,56.745
-68.078,-43.971,78.875,61.548
-54.134,-54.463,78.453,67.132
-39.683,-62.071,77.876,71.743
-26.519,-66.823,77.234,74.931
-15.88,-69.206,76.602,77.027
-7.467,-70.028,76.109,77.881
0.0,-70.151,75.915,77.832
7.468,-70.035,76.106,77.401
15.883,-69.226,76.593,75.746
27.644,-70.472,75.451,73.053
41.261,-65.552,75.99,69.552
56.184,-57.662,76.298,64.859
70.546,-46.753,76.199,59.394
82.395,-34.282,75.771,54.811
90.362,-22.523,75.226,50.512
91.413,-12.097,78.512,45.679
92.535,-5.02,77.921,41.743
95.063,1.707,74.25,40.469
94.926,8.737,74.492,38.321
93.478,16.517,74.928,34.225
89.249,25.441,75.404,29.488
80.367,33.986,77.479,25.445
70.322,43.928,77.249,21.714
58.207,53.105,76.93,18.396
44.88,60.87,76.493,15.722
31.192,66.858,75.926,13.575
18.102,71.645,74.871,11.881
5.65,72.724,74.485,10.815
0.0,74.67,78.128,12.373
-12.083,73.733,78.725,13.451
-25.435,70.689,79.476,15.141
-39.575,65.548,80.117,17.089
-53.827,58.486,80.623,19.361
-67.405,49.798,80.988,22.089
-79.459,39.947,81.231,25.298
-89.037,29.768,81.407,28.849
-95.244,20.286,81.602,33.075
-97.921,12.217,81.711,37.83
-98.459,5.147,81.613,41.236
-98.412,-1.721,81.597,42.397
-97.947,-8.65,82.054,45.304
-95.502,-16.6,82.588,50.111
-89.146,-26.909,82.781,54.883
-78.289,-39.13,82.727,59.19
-64.245,-50.999,82.464,64.05
-48.943,-60.389,81.983,68.959
-34.264,-66.738,81.378,72.558
-21.761,-70.351,80.731,75.036
-11.961,-71.88,80.144,76.529
-3.848,-72.249,79.777,76.82
3.848,-72.251,79.776,76.661
11.962,-71.892,80.138,75.696
21.767,-70.376,80.718,73.503
35.475,-69.935,79.538,70.595
50.535,-63.387,79.994,66.805
66.222,-53.709,80.116,61.916
80.539,-41.498,79.828,57.239
89.197,-26.95,82.707,53.142
95.56,-16.63,82.5,48.534
98.009,-8.662,81.958,43.835
98.473,-1.722,81.501,40.987
98.521,5.151,81.517,39.858
100.003,12.818,78.478,36.507
96.98,21.338,78.967,31.804
90.412,31.0,79.435,27.576
79.509,40.005,81.165,23.977
67.451,49.863,80.931,20.728
53.866,58.556,80.573,18.008
39.605,65.617,80.075,15.818
25.454,70.751,79.442,14.062
12.09,73.775,78.703,12.741
-6.109,76.238,81.807,14.534
-19.354,74.226,82.588,15.923
-33.72,70.005,83.273,17.594
-48.609,63.727,83.832,19.514
-63.307,55.642,84.25,21.782
-77.024,46.114,84.528,24.479
-88.835,35.762,84.7,27.553
-97.619,25.568,84.858,31.109
-102.496,16.523,85.063,35.684
-104.109,8.842,85.067,39.885
-104.233,1.767,84.977,42.215
-104.107,-5.284,85.177,43.683
-102.769,-12.763,85.731,47.841
-98.168,-22.07,86.051,52.791
-88.643,-33.912,86.088,56.977
-74.949,-46.604,85.959,61.179
-59.082,-57.719,85.619,65.872
-43.133,-65.822,85.099,69.782
-28.81,-70.924,84.488,72.565
-17.253,-73.48,83.873,74.498
-8.093,-74.335,83.386,75.356
0.0,-74.447,83.193,75.352
8.093,-74.341,83.383,74.93
17.256,-73.497,83.863,73.379
28.819,-70.951,84.471,70.911
43.149,-65.857,85.074,67.834
59.107,-57.76,85.585,63.839
74.983,-46.646,85.912,59.252
88.682,-33.951,86.028,55.247
98.213,-22.102,85.977,51.241
102.819,-12.782,85.645,46.422
104.158,-5.289,85.088,42.35
104.284,1.768,84.889,40.921
104.16,8.851,84.98,38.64
104.215,17.345,82.127,34.507
98.973,26.674,82.611,29.977
88.874,35.805,84.639,26.404
77.061,46.163,84.474,23.288
63.339,55.695,84.203,20.575
48.636,63.782,83.791,18.345
33.74,70.057,83.238,16.543
19.364,74.269,82.562,15.111
6.111,76.259,81.795,14.157
0.0,78.356,84.781,16.367
-13.037,77.367,85.346,17.271
-27.43,74.14,86.05,18.705
-42.704,68.723,86.644,20.346
-58.217,61.337,87.108,22.244
-73.242,52.294,87.435,24.475
-86.96,42.048,87.636,27.052
-98.233,31.42,87.776,30.01
-105.804,21.447,87.972,33.743
-109.222,12.908,88.137,38.212
-110.002,5.427,88.076,41.55
-109.979,-1.813,88.073,42.804
-109.428,-9.15,88.499,45.727
-106.486,-17.633,88.92,50.366
-98.843,-28.615,89.019,54.779
-86.061,-41.526,88.972,58.525
-70.011,-54.035,88.77,62.59
-53.048,-63.979,88.366,66.63
-37.092,-70.764,87.832,69.659
-23.576,-74.661,87.245,71.834
-12.949,-76.304,86.706,73.225
-4.152,-76.686,86.363,73.574
4.152,-76.688,86.362,73.433
12.951,-76.314,86.699,72.528
23.58,-74.68,87.232,70.549
37.102,-70.791,87.811,67.995
53.065,-64.012,88.337,64.785
70.035,-54.07,88.731,60.752
86.09,-41.56,88.922,56.839
98.876,-28.646,88.958,53.27
106.524,-17.656,88.846,49.002
109.47,-9.16,88.418,44.47
110.02,-1.814,87.992,41.609
110.043,5.43,87.996,40.392
109.262,12.921,88.06,37.124
107.15,22.39,85.396,32.73
99.284,32.484,85.833,29.021
86.988,42.083,87.587,26.039
73.267,52.333,87.392,23.434
58.239,61.378,87.07,21.211
42.722,68.764,86.611,19.378
27.442,74.176,86.023,17.886
13.041,77.393,85.329,16.729
-6.579,80.084,87.792,19.196
-20.831,77.934,88.487,20.417
-36.281,73.457,89.093,21.842
-52.349,66.856,89.586,23.449
-68.369,58.41,89.956,25.29
-83.611,48.493,90.201,27.39
-97.101,37.708,90.354,29.785
-107.443,27.037,90.512,32.671
-113.406,17.496,90.768,36.625
-115.509,9.351,90.838,40.431
-115.757,1.863,90.776,42.656
-115.61,-5.589,90.964,44.135
-114.01,-13.569,91.413,48.003
-108.516,-23.524,91.58,52.448
-97.315,-36.069,91.555,56.017
-81.62,-49.426,91.443,59.446
-63.931,-61.142,91.168,63.177
-46.563,-69.748,90.735,66.331
-31.121,-75.234,90.217,68.66
-18.652,-78.007,89.686,70.371
-8.734,-78.932,89.26,71.219
0.0,-79.048,89.088,71.274
8.734,-78.937,89.256,70.872
18.654,-78.02,89.676,69.481
31.127,-75.253,90.199,67.333
46.574,-69.772,90.71,64.753
63.947,-61.169,91.136,61.515
81.64,-49.454,91.402,57.858
97.339,-36.095,91.505,54.581
108.543,-23.546,91.519,51.155
114.041,-13.583,91.343,46.824
115.643,-5.592,90.891,43.04
115.789,1.864,90.705,41.602
115.541,9.357,90.768,39.433
113.434,17.511,90.705,35.711
107.466,27.059,90.461,31.823
97.122,37.732,90.311,28.943
83.629,48.519,90.163,26.525
68.386,58.439,89.922,24.414
52.363,66.885,89.556,22.6
36.291,73.486,89.067,21.078
20.837,77.957,88.467,19.824
6.58,80.096,87.782,18.908
0.0,82.433,90.141,21.892
-14.019,81.365,90.622,22.711
-29.469,77.914,91.214,23.969
-45.874,72.182,91.716,25.355
-62.624,64.428,92.112,26.883
-79.047,54.988,92.397,28.575
-94.36,44.311,92.58,30.436
-107.268,33.211,92.727,32.621
-116.197,22.736,92.96,35.539
-120.412,13.69,93.202,39.25
-121.491,5.741,93.193,42.153
-121.509,-1.916,93.201,43.358
-120.846,-9.728,93.555,45.983
-117.345,-18.827,93.802,49.973
-108.372,-30.521,93.768,53.614
-93.694,-44.129,93.685,56.534
-75.714,-57.279,93.512,59.607
-57.16,-67.787,93.187,62.659
-39.962,-75.037,92.758,65.054
-25.437,-79.26,92.283,66.886
-13.972,-81.059,91.839,68.145
-4.467,-81.478,91.553,68.552
4.467,-81.48,91.551,68.438
13.973,-81.066,91.832,67.616
25.441,-79.274,92.269,65.918
39.969,-75.055,92.737,63.793
57.17,-67.808,93.16,61.25
75.727,-57.301,93.479,58.188
93.71,-44.15,93.645,55.216
108.391,-30.54,93.719,52.419
117.367,-18.841,93.744,48.888
120.871,-9.734,93.492,44.989
121.534,-1.917,93.139,42.424
121.515,5.744,93.132,41.257
120.434,13.698,93.145,38.431
116.215,22.75,92.914,34.806
107.283,33.227,92.689,31.929
94.373,44.328,92.548,29.741
79.058,55.007,92.367,27.863
62.635,64.448,92.085,26.175
45.882,72.201,91.692,24.688
29.475,77.933,91.195,23.4
14.021,81.378,90.608,22.326
-7.072,84.4,92.483,25.533
-22.37,82.074,93.041,26.661
-38.929,77.3,93.527,27.89
-56.185,70.328,93.928,29.18
-73.514,61.472,94.237,30.534
-90.24,51.112,94.454,31.943
-105.358,39.849,94.61,33.508
-117.223,28.667,94.8,35.491
-124.291,18.595,95.123,38.431
-126.934,9.929,95.269,41.427
-127.337,1.971,95.242,43.292
-127.165,-5.936,95.397,44.607
-125.256,-14.499,95.692,47.768
-118.809,-25.161,95.67,51.253
-105.928,-38.435,95.552,53.877
-88.224,-52.401,95.59,56.267
-68.817,-64.801,95.222,58.835
-50.067,-73.957,94.86,61.116
-33.506,-79.867,94.463,62.945
-20.108,-82.901,94.054,64.4
-9.406,-83.928,93.719,65.216
0.0,-84.06,93.58,65.329
9.406,-83.931,93.715,64.963
20.11,-82.909,94.043,63.771
33.51,-79.879,94.446,62.011
50.073,-73.971,94.838,60.005
68.826,-64.817,95.193,57.656
88.236,-52.418,95.554,55.124
105.941,-38.449,95.514,52.821
118.823,-25.173,95.624,50.285
125.273,-14.507,95.639,46.884
127.183,-5.938,95.343,43.793
127.354,1.971,95.189,42.516
126.95,9.933,95.219,40.707
124.304,18.603,95.08,37.795
117.233,28.677,94.767,34.926
105.366,39.86,94.583,32.964
90.248,51.124,94.43,31.391
73.521,61.484,94.216,29.975
56.191,70.341,93.909,28.634
38.933,77.312,93.509,27.392
22.372,82.085,93.027,26.267
7.073,84.406,92.476,25.329
0.0,87.081,94.227,28.967
-15.062,85.908,94.597,29.796
-31.619,82.193,95.047,30.912
-49.192,76.095,95.433,32.031
-67.199,67.919,95.746,33.127
-85.012,58.016,95.993,34.187
-101.89,46.846,96.157,35.231
-116.395,35.217,96.328,36.481
-126.67,24.191,96.616,38.322
-131.713,14.582,96.94,40.893
-133.125,6.099,96.984,43.04
-133.193,-2.033,97.008,44.042
-132.393,-10.392,97.249,46.074
-128.275,-20.178,97.287,48.993
-117.938,-32.624,97.099,51.492
-101.33,-46.893,97.178,53.321
-81.46,-60.715,96.994,55.174
-61.387,-71.906,96.529,57.086
-42.941,-79.663,96.213,58.767
-27.385,-84.256,95.869,60.21
-15.05,-86.249,95.542,61.293
-4.802,-86.727,95.326,61.728
4.802,-86.728,95.325,61.647
15.051,-86.253,95.535,60.941
27.387,-84.263,95.856,59.581
42.945,-79.672,96.195,57.957
61.392,-71.916,96.507,56.185
81.467,-60.726,96.965,54.259
101.338,-46.904,97.145,52.449
117.947,-32.634,97.065,50.678
128.285,-20.185,97.246,48.241
132.405,-10.395,97.205,45.384
133.204,-2.033,96.964,43.4
133.136,6.1,96.942,42.432
131.722,14.586,96.903,40.355
126.677,24.197,96.587,37.863
116.4,35.223,96.306,36.065
101.894,46.852,96.138,34.822
85.016,58.022,95.975,33.772
67.203,67.926,95.73,32.712
49.195,76.103,95.418,31.634
31.621,82.199,95.035,30.564
15.063,85.913,94.588,29.551
-7.608,89.372,95.897,33.214
-24.023,86.832,96.295,34.237
-41.752,81.711,96.645,35.233
-60.244,74.311,96.942,36.143
-78.903,64.963,97.226,36.942
-97.11,54.084,97.425,37.618
-113.838,42.28,97.538,38.298
-127.205,30.518,97.77,39.253
-135.383,19.851,98.166,40.919
-138.595,10.592,98.386,42.804
-139.167,2.093,98.398,44.096
-138.964,-6.334,98.496,45.081
-136.701,-15.557,98.608,47.199
-129.249,-26.978,98.382,49.371
-114.668,-41.006,98.25,50.817
-95.036,-55.717,98.353,52.007
-73.87,-68.783,97.909,53.306
-53.725,-78.541,97.541,54.634
-36.012,-84.919,97.268,55.898
-21.648,-88.255,96.987,57.025
-10.121,-89.414,96.752,57.738
0.0,-89.568,96.661,57.882
10.121,-89.415,96.748,57.579
21.648,-88.258,96.978,56.652
36.014,-84.924,97.254,55.36
53.727,-78.546,97.525,54.009
73.873,-68.789,97.888,52.647
95.04,-55.724,98.327,51.356
114.673,-41.012,98.223,50.193
129.254,-26.983,98.352,48.776
136.707,-15.56,98.574,46.647
138.97,-6.335,98.462,44.573
139.174,2.094,98.365,43.617
138.6,10.593,98.356,42.371
135.388,19.854,98.142,40.554
127.208,30.522,97.753,38.945
113.841,42.284,97.524,38.012
97.112,54.087,97.413,37.333
78.905,64.967,97.214,36.653
60.246,74.314,96.931,35.856
41.754,81.715,96.635,34.964
24.024,86.835,96.287,34.014
7.608,89.374,95.893,33.088
0.0,92.479,97.031,36.801
-16.203,91.175,97.281,37.664
-33.948,87.148,97.58,38.559
-52.76,80.627,97.844,39.338
-72.08,71.955,98.079,39.958
-91.309,61.498,98.364,40.403
-109.756,49.754,98.459,40.699
-125.848,37.514,98.626,41.045
-137.46,25.858,98.974,41.732
-143.344,15.607,99.378,42.959
-145.105,6.508,99.474,44.141
-145.227,-2.166,99.504,44.81
-144.262,-11.15,99.609,46.029
-139.473,-21.69,99.424,47.6
-127.747,-34.938,99.078,48.754
-109.276,-50.016,99.264,49.427
-87.521,-64.606,98.948,50.076
-65.829,-76.419,98.471,50.879
-46.088,-84.731,98.256,51.808
-29.449,-89.734,98.034,52.774
-16.2,-91.954,97.822,53.581
-5.161,-92.505,97.696,53.967
5.161,-92.506,97.694,53.919
16.2,-91.956,97.816,53.394
29.45,-89.736,98.025,52.462
46.089,-84.733,98.245,51.427
65.83,-76.421,98.459,50.472
87.523,-64.608,98.932,49.664
109.278,-50.019,99.245,49.018
127.749,-34.94,99.06,48.348
139.476,-21.692,99.401,47.205
144.265,-11.151,99.584,45.66
145.23,-2.167,99.48,44.469
145.108,6.509,99.451,43.824
143.346,15.609,99.359,42.691
137.462,25.86,98.961,41.517
125.849,37.516,98.617,40.861
109.757,49.755,98.451,40.525
91.31,61.499,98.356,40.228
72.08,71.957,98.072,39.78
52.761,80.629,97.837,39.161
33.948,87.149,97.574,38.395
16.203,91.177,97.276,37.538
-8.203,95.161,98.008,41.002
-25.837,92.363,98.246,41.799
-44.828,86.838,98.466,42.471
-64.637,78.939,98.666,42.972
-84.698,69.036,98.904,43.276
-104.421,57.543,99.13,43.379
-122.756,45.083,99.177,43.356
-137.618,32.647,99.454,43.393
