x,y,z,theta_init
168.449,18.131,100.406,47.461
160.872,29.975,99.867,48.644
146.571,43.212,99.412,49.618
127.26,57.021,99.188,50.246
105.546,70.266,99.047,50.618
83.219,82.085,98.933,50.803
60.968,91.994,98.838,50.827
39.337,99.562,98.758,50.694
18.864,104.366,98.693,50.41
-9.606,109.588,98.193,52.409
-30.061,106.153,98.21,52.573
-51.966,99.648,98.247,52.614
-74.785,90.519,98.309,52.546
-97.978,79.21,98.398,52.365
-120.988,66.171,98.517,52.063
-142.678,52.042,98.691,51.532
-160.585,37.903,99.009,50.613
-172.111,24.842,99.592,49.066
-177.058,13.214,99.981,47.55
-178.154,2.578,100.027,46.791
-177.782,-7.896,99.96,46.395
-174.233,-19.587,99.494,44.924
-163.569,-33.694,98.726,43.119
-143.871,-50.619,98.4,41.79
-118.291,-68.257,98.18,40.774
-91.409,-83.787,97.804,39.899
-66.472,-95.655,97.694,39.263
-44.737,-103.699,97.63,38.887
-27.007,-108.103,97.588,38.698
-12.632,-109.76,97.565,38.688
0.0,-110.035,97.566,38.733
12.633,-109.761,97.568,38.758
27.007,-108.105,97.598,38.903
44.738,-103.703,97.648,39.23
66.475,-95.66,97.718,39.706
91.412,-83.793,97.831,40.398
118.295,-68.264,98.211,41.281
143.875,-50.625,98.429,42.265
163.573,-33.697,98.754,43.543
174.236,-19.588,99.521,45.286
177.785,-7.896,99.985,46.706
178.157,2.578,100.05,47.086
177.061,13.215,100.002,47.821
172.113,24.843,99.607,49.293
160.587,37.904,99.019,50.801
142.679,52.044,98.699,51.708
120.989,66.173,98.525,52.24
97.979,79.211,98.406,52.543
74.786,90.52,98.316,52.713
51.966,99.65,98.253,52.758
30.061,106.154,98.214,52.676
9.606,109.588,98.194,52.449
0.0,114.289,97.34,54.204
-20.408,112.443,97.333,54.311
-42.467,107.188,97.331,54.285
-65.736,98.996,97.359,54.173
-89.673,88.333,97.42,53.986
-113.735,75.661,97.516,53.718
-137.221,61.483,97.652,53.321
-158.217,46.695,97.887,52.583
-173.884,32.475,98.362,51.184
-182.302,19.653,98.935,49.127
-185.097,8.118,99.1,47.55
-185.364,-2.691,99.088,47.082
-183.764,-14.072,98.823,45.739
-176.764,-27.336,98.063,43.478
-160.744,-43.513,97.354,41.485
-136.556,-61.792,97.232,40.18
-108.675,-79.24,96.777,39.098
-81.555,-93.519,96.632,38.157
-57.225,-103.842,96.553,37.463
-36.719,-110.27,96.507,36.989
-20.249,-113.273,96.483,36.742
-6.441,-114.115,96.481,36.721
6.441,-114.116,96.483,36.756
20.249,-113.276,96.493,36.924
36.72,-110.276,96.528,37.354
57.228,-103.851,96.581,37.973
81.56,-93.529,96.666,38.756
108.681,-79.25,96.814,39.734
136.563,-61.802,97.273,40.802
160.751,-43.52,97.391,42.063
176.77,-27.341,98.101,43.991
183.77,-14.074,98.859,46.181
185.37,-2.691,99.12,47.478
185.103,8.118,99.13,47.926
182.306,19.655,98.959,49.451
173.887,32.478,98.377,51.441
158.219,46.697,97.898,52.803
137.222,61.486,97.662,53.535
113.736,75.663,97.525,53.935
89.675,88.336,97.429,54.199
65.737,98.998,97.367,54.369
42.468,107.19,97.338,54.446
20.408,112.444,97.337,54.41
-10.408,118.256,96.081,56.002
-32.487,114.471,96.047,55.925
-56.079,107.405,96.044,55.761
-80.637,97.55,96.077,55.546
-105.611,85.388,96.147,55.284
-130.436,71.397,96.256,54.964
-153.914,56.244,96.428,54.416
-173.393,41.06,96.772,53.329
-186.034,26.957,97.378,51.198
-191.53,14.316,97.75,48.879
-192.768,2.781,97.752,47.592
-192.332,-8.546,97.651,46.829
-188.337,-21.242,97.093,44.402
-176.584,-36.442,96.212,41.668
-155.125,-54.588,95.794,39.85
-127.412,-73.475,95.551,38.538
-98.404,-90.111,95.212,37.356
-71.572,-102.864,95.1,36.356
-48.201,-111.55,95.04,35.59
-29.116,-116.339,95.007,35.048
-13.62,-118.167,94.997,34.829
0.0,-118.481,95.006,34.833
13.62,-118.169,95.004,34.957
29.118,-116.347,95.027,35.393
48.205,-111.562,95.073,36.138
71.578,-102.878,95.141,37.037
98.412,-90.126,95.258,38.107
127.422,-73.49,95.602,39.297
155.135,-54.601,95.844,40.576
176.594,-36.452,96.259,42.335
188.347,-21.247,97.139,44.988
192.341,-8.548,97.693,47.339
192.777,2.781,97.791,48.072
191.538,14.318,97.783,49.312
186.04,26.961,97.401,51.548
173.396,41.064,96.787,53.605
153.917,56.247,96.44,54.668
130.438,71.4,96.267,55.215
105.613,85.392,96.158,55.537
80.639,97.554,96.087,55.789
56.08,107.408,96.053,55.976
32.487,114.474,96.054,56.086
10.408,118.257,96.084,56.073
0.0,123.35,94.431,57.714
-22.055,121.302,94.383,57.619
-45.823,115.578,94.347,57.405
-70.864,106.723,94.355,57.146
-96.618,95.239,94.4,56.864
-122.524,81.621,94.484,56.558
-147.855,66.402,94.612,56.162
-170.569,50.526,94.859,55.359
-187.597,35.214,95.342,53.636
-196.825,21.311,95.908,50.838
-199.909,8.772,96.006,48.56
-200.201,-2.903,95.958,47.821
-198.401,-15.247,95.674,45.792
-190.666,-29.594,94.811,42.533
-173.217,-46.974,94.052,39.833
-147.046,-66.587,93.909,38.164
-116.949,-85.265,93.436,36.777
-87.755,-100.587,93.28,35.481
-61.596,-111.693,93.191,34.403
-39.543,-118.636,93.139,33.556
-21.811,-121.902,93.115,33.033
-6.936,-122.833,93.117,32.906
6.936,-122.834,93.121,32.965
21.812,-121.91,93.132,33.317
39.547,-118.651,93.173,34.104
61.604,-111.713,93.237,35.147
87.766,-100.608,93.334,36.337
116.961,-85.286,93.493,37.672
147.061,-66.609,93.972,39.041
173.231,-46.99,94.109,40.658
190.68,-29.605,94.867,43.277
198.415,-15.252,95.727,46.44
200.214,-2.904,96.005,48.403
199.921,8.773,96.05,49.109
196.834,21.315,95.941,51.302
187.602,35.219,95.363,53.993
170.572,50.531,94.873,55.658
147.858,66.407,94.625,56.447
122.526,81.626,94.497,56.847
96.621,95.244,94.412,57.15
70.866,106.728,94.365,57.412
45.824,115.582,94.356,57.627
22.055,121.304,94.389,57.763
-11.235,127.442,92.336,59.422
-35.007,123.314,92.278,59.168
-60.37,115.675,92.255,58.855
-86.753,105.062,92.274,58.535
-113.582,91.994,92.334,58.215
-140.268,76.98,92.433,57.884
-165.548,60.728,92.61,57.318
-186.57,44.418,92.946,56.07
-200.283,29.193,93.528,53.372
-206.28,15.473,93.857,50.257
-207.621,2.993,93.788,48.47
-207.136,-9.226,93.699,47.384
-202.715,-22.972,93.067,44.005
-189.916,-39.326,92.138,40.338
-166.764,-58.811,91.781,38.009
-136.909,-79.028,91.485,36.35
-105.709,-96.828,91.114,34.803
-76.892,-110.505,90.981,33.397
-51.798,-119.838,90.902,32.227
-31.295,-124.998,90.851,31.341
-14.638,-126.977,90.833,30.936
0.0,-127.324,90.843,30.912
14.638,-126.983,90.845,31.128
31.298,-125.014,90.883,31.845
51.806,-119.863,90.952,33.01
76.904,-110.534,91.042,34.349
105.724,-96.858,91.18,35.834
136.928,-79.058,91.558,37.384
166.784,-58.838,91.853,38.998
189.936,-39.345,92.204,41.253
202.735,-22.983,93.131,44.815
207.154,-9.229,93.756,48.092
207.638,2.993,93.84,49.136
206.295,15.476,93.902,50.852
200.292,29.199,93.558,53.845
186.576,44.424,92.965,56.435
165.552,60.734,92.624,57.645
140.272,76.986,92.447,58.208
113.585,92.0,92.347,58.543
86.755,105.068,92.286,58.852
60.372,115.68,92.266,59.139
35.008,123.318,92.286,59.385
11.235,127.444,92.34,59.52
0.0,132.59,89.859,61.361
-23.705,130.366,89.812,61.108
-49.205,124.196,89.774,60.74
-76.044,114.68,89.775,60.364
-103.636,102.362,89.814,60.01
-131.39,87.771,89.889,59.673
-158.542,71.478,90.01,59.272
-182.913,54.47,90.239,58.397
-201.228,38.021,90.687,56.333
-211.197,22.996,91.197,52.743
-214.523,9.431,91.241,49.717
-214.83,-3.117,91.17,48.735
-212.841,-16.433,90.854,45.99
-204.42,-31.876,89.956,41.652
-185.625,-50.484,89.2,38.185
-157.572,-71.503,89.118,36.084
-125.286,-91.433,88.612,34.303
-94.006,-107.805,88.42,32.563
-65.989,-119.684,88.303,31.032
-42.366,-127.114,88.226,29.768
-23.366,-130.61,88.176,28.956
-7.428,-131.609,88.167,28.736
7.428,-131.612,88.173,28.824
23.368,-130.626,88.203,29.368
42.374,-127.144,88.275,30.547
66.003,-119.722,88.369,32.068
94.025,-107.846,88.495,33.732
125.309,-91.473,88.692,35.506
157.6,-71.543,89.204,37.252
185.65,-50.514,89.274,39.282
204.447,-31.896,90.029,42.646
212.866,-16.441,90.922,46.859
214.853,-3.118,91.229,49.518
214.545,9.433,91.296,50.455
211.212,23.003,91.238,53.362
201.236,38.029,90.712,56.801
182.918,54.477,90.256,58.782
158.546,71.485,90.025,59.638
131.394,87.779,89.903,60.043
103.639,102.369,89.827,60.378
76.047,114.687,89.787,60.71
49.207,124.202,89.785,61.031
23.706,130.37,89.819,61.297
-12.03,136.47,86.936,63.272
-37.454,132.042,86.892,62.861
-64.551,123.87,86.879,62.418
-92.72,112.529,86.903,62.009
-121.356,98.571,86.959,61.643
-149.839,82.551,87.062,61.301
-176.811,65.188,87.199,60.71
-199.265,47.752,87.497,59.285
-213.95,31.401,88.016,55.955
-220.374,16.603,88.27,51.922
-221.789,3.198,88.164,49.583
-221.253,-9.887,88.062,48.167
-216.445,-24.659,87.412,43.698
-202.691,-42.137,86.5,38.972
-178.013,-62.987,86.281,36.047
-146.122,-84.497,85.923,33.941
-112.802,-103.421,85.509,31.911
-82.049,-117.985,85.352,29.986
-55.268,-127.916,85.241,28.317
-33.386,-133.399,85.161,27.017
-15.612,-135.498,85.122,26.411
0.0,-135.864,85.121,26.37
15.613,-135.51,85.139,26.691
33.392,-133.432,85.206,27.738
55.282,-127.963,85.309,29.414
82.071,-118.038,85.434,31.293
112.83,-103.474,85.596,33.296
146.156,-84.552,86.019,35.31
178.049,-63.036,86.376,37.344
202.725,-42.171,86.582,40.17
216.479,-24.677,87.49,44.763
221.284,-9.891,88.13,49.103
221.818,3.199,88.226,50.466
220.397,16.608,88.322,52.71
213.964,31.411,88.049,56.578
199.273,47.761,87.518,59.759
176.817,65.197,87.215,61.13
149.844,82.56,87.078,61.718
121.36,98.58,86.973,62.065
92.724,112.537,86.916,62.418
64.554,123.878,86.891,62.787
37.456,132.049,86.901,63.144
12.031,136.473,86.94,63.4
0.0,141.316,83.629,65.682
-25.245,138.951,83.599,65.28
-52.373,132.39,83.58,64.763
-80.908,122.273,83.592,64.28
-110.229,109.178,83.634,63.865
-139.709,93.666,83.702,63.506
-168.597,76.442,83.953,63.104
-194.404,58.249,83.997,62.152
-213.864,40.709,84.383,59.709
-224.471,24.596,84.803,55.173
-227.977,10.048,84.785,51.232
-228.286,-3.316,84.704,49.99
-226.128,-17.547,84.38,46.387
-217.096,-34.017,83.515,40.754
-197.168,-53.856,82.955,36.391
-167.374,-76.149,82.799,33.755
-133.074,-97.258,82.305,31.453
-99.832,-114.581,82.058,29.124
-70.064,-127.153,81.91,26.994
-44.969,-134.997,81.797,25.18
-24.795,-138.675,81.724,24.0
-7.882,-139.72,81.702,23.686
7.882,-139.727,81.71,23.817
24.799,-138.706,81.76,24.604
44.983,-135.052,81.864,26.294
70.09,-127.221,81.997,28.437
99.865,-114.652,82.153,30.709
133.114,-97.328,82.406,33.051
167.421,-76.218,82.907,35.282
197.213,-53.909,83.05,37.814
217.139,-34.051,83.601,42.045
226.17,-17.559,84.457,47.526
228.322,-3.317,84.77,51.021
228.01,10.051,84.847,52.206
224.495,24.606,84.848,55.992
213.877,40.72,84.409,60.326
194.412,58.259,84.014,62.654
168.604,76.453,83.97,63.58
139.714,93.676,83.717,63.989
110.234,109.188,83.648,64.344
80.912,122.283,83.605,64.732
52.375,132.399,83.59,65.146
25.246,138.957,83.605,65.529
-12.739,144.644,79.889,68.052
-39.649,139.977,79.871,67.471
-68.311,131.347,79.877,66.894
-98.092,119.362,79.908,66.405
-128.352,104.606,79.962,66.009
-158.504,87.79,80.2,65.674
-186.987,69.435,80.342,65.069
-210.579,50.825,80.401,63.466
-226.092,33.432,80.826,59.395
-232.85,17.627,80.993,54.183
-234.299,3.381,80.862,51.144
-233.717,-10.481,80.76,49.333
-228.566,-26.18,80.147,43.477
-213.987,-44.66,79.324,37.473
-188.021,-66.761,79.22,33.842
-154.332,-89.41,78.832,31.169
-119.126,-109.329,78.425,28.496
-86.629,-124.658,78.248,25.87
-58.328,-135.079,78.104,23.505
-35.219,-140.804,77.993,21.617
-16.468,-142.983,77.939,20.744
0.0,-143.361,77.935,20.703
16.469,-143.007,77.963,21.169
35.23,-140.865,78.053,22.687
58.355,-135.164,78.192,25.076
86.668,-124.751,78.348,27.677
119.173,-109.418,78.529,30.356
154.39,-89.501,78.946,32.965
188.082,-66.843,79.332,35.521
214.041,-44.714,79.415,39.016
228.62,-26.208,80.232,44.86
233.765,-10.487,80.832,50.563
234.343,3.382,80.928,52.31
232.886,17.635,81.048,55.232
226.113,33.446,80.86,60.229
210.59,50.837,80.42,64.099
186.996,69.449,80.36,65.629
158.512,87.804,80.217,66.228
128.358,104.618,79.976,66.571
98.098,119.374,79.921,66.952
68.314,131.358,79.888,67.388
39.651,139.986,79.879,67.853
12.739,144.648,79.892,68.223
0.0,148.817,75.758,71.198
-26.556,146.355,75.749,70.615
-55.08,139.486,75.753,69.919
-85.07,128.872,75.777,69.326
-115.872,115.12,75.82,68.867
-146.88,98.929,75.982,68.518
-177.225,80.882,76.232,68.147
-204.243,61.678,76.22,67.147
-224.562,43.078,76.402,64.309
-235.681,25.995,76.716,58.577
-239.296,10.576,76.651,53.395
-239.595,-3.485,76.571,51.823
-237.286,-18.506,76.274,47.088
-227.729,-35.849,75.525,39.806
-206.925,-56.781,75.185,34.404
-175.634,-80.079,74.926,31.13
-139.647,-102.186,74.509,28.165
-104.74,-120.302,74.265,25.049
-73.474,-133.413,74.097,22.077
-47.127,-141.549,73.956,19.432
-25.976,-145.332,73.862,17.675
-8.259,-146.404,73.836,17.244
8.26,-146.417,73.846,17.453
25.983,-145.393,73.909,18.624
47.153,-141.652,74.039,21.104
73.519,-133.534,74.2,24.135
104.797,-120.421,74.372,27.216
139.714,-102.302,74.621,30.278
175.711,-80.191,75.043,33.107
207.001,-56.871,75.292,36.226
227.797,-35.9,75.612,41.464
237.349,-18.525,76.352,48.574
239.65,-3.487,76.637,53.189
239.346,10.581,76.711,54.694
235.715,26.01,76.758,59.688
224.579,43.094,76.425,65.157
204.256,61.695,76.239,67.839
177.236,80.899,76.249,68.802
146.89,98.946,75.997,69.182
115.878,115.134,75.832,69.53
85.075,128.885,75.788,69.953
55.084,139.497,75.762,70.454
26.558,146.362,75.755,70.965
-13.304,151.241,71.217,74.255
-41.407,146.409,71.222,73.426
-71.326,137.433,71.241,72.675
-102.402,124.945,71.276,72.114
-133.987,109.607,71.359,71.725
-165.448,92.122,71.571,71.451
-195.159,73.028,71.734,70.894
-219.568,53.378,71.628,69.162
-235.724,35.122,71.935,64.245
-242.721,18.464,72.026,57.434
-244.167,3.526,71.899,53.422
-243.542,-10.96,71.812,51.091
-238.09,-27.409,71.313,43.397
-222.888,-46.704,70.711,35.885
-195.871,-69.716,70.589,31.487
-160.781,-93.253,70.266,28.149
-124.105,-113.981,69.968,24.672
-90.21,-129.87,69.795,21.099
-60.693,-140.611,69.639,17.685
-36.622,-146.451,69.509,14.78
-17.125,-148.652,69.447,13.427
0.0,-149.04,69.444,13.424
17.128,-148.704,69.477,14.164
36.643,-146.571,69.582,16.521
60.742,-140.765,69.738,20.034
90.277,-130.027,69.901,23.629
124.181,-114.125,70.072,27.156
160.87,-93.395,70.375,30.473
195.966,-69.843,70.697,33.619
222.974,-46.789,70.8,37.839
238.171,-27.451,71.39,45.177
243.612,-10.969,71.877,52.715
244.231,3.527,71.958,54.977
242.772,18.475,72.074,58.862
235.753,35.141,71.963,65.422
219.583,53.394,71.644,70.077
195.173,73.048,71.751,71.705
165.46,92.142,71.586,72.255
133.998,109.627,71.373,72.54
102.409,124.96,71.286,72.91
71.331,137.446,71.25,73.4
41.41,146.42,71.229,73.992
13.304,151.245,71.22,74.509
0.0,154.349,66.289,78.374
-27.516,151.835,66.295,77.468
-57.065,144.762,66.311,76.466
-88.121,133.801,66.337,75.723
-120.006,119.578,66.371,75.249
-152.11,102.868,66.494,74.977
-183.492,84.205,66.656,74.728
-211.477,64.4,66.72,73.77
-232.316,44.898,66.724,70.581
-243.806,27.066,66.916,63.346
-247.473,10.966,66.849,56.446
-247.755,-3.609,66.79,54.435
-245.306,-19.223,66.575,48.219
-235.334,-37.194,66.065,38.956
-213.857,-58.841,65.839,32.509
-181.498,-82.826,65.618,28.592
-144.325,-105.662,65.362,24.896
-108.239,-124.368,65.209,20.841
-75.873,-137.8,65.062,16.715
-48.617,-146.047,64.922,12.659
-26.785,-149.809,64.819,9.641
-8.524,-150.874,64.795,8.958
8.525,-150.907,64.809,9.389
26.801,-149.946,64.877,11.441
48.667,-146.245,65.01,15.373
75.949,-138.005,65.158,19.685
108.328,-124.556,65.302,23.751
144.424,-105.834,65.453,27.609
181.607,-82.986,65.709,31.064
213.968,-58.972,65.924,34.762
235.43,-37.267,66.132,41.029
245.397,-19.249,66.635,50.138
247.831,-3.61,66.839,56.247
247.542,10.972,66.893,58.193
243.851,27.085,66.946,64.916
232.337,44.917,66.739,71.86
211.496,64.425,66.735,74.846
183.508,84.229,66.67,75.749
152.124,102.892,66.507,76.011
120.013,119.593,66.378,76.282
88.127,133.815,66.344,76.708
57.069,144.775,66.316,77.322
27.518,151.843,66.299,78.044
-13.663,155.495,60.997,82.065
-42.531,150.582,61.011,80.639
-73.253,141.404,61.029,79.538
-105.154,128.609,61.051,78.873
-137.535,112.826,61.078,78.546
-169.769,94.852,61.162,78.438
-200.222,75.28,61.243,78.038
-225.311,55.194,61.242,76.248
-241.787,36.269,61.345,70.388
-248.932,19.019,61.379,61.571
-250.362,3.618,61.309,56.331
-249.696,-11.273,61.261,53.412
-244.007,-28.214,61.002,43.649
-228.385,-47.996,60.708,34.727
-200.628,-71.433,60.592,29.714
-164.715,-95.549,60.446,25.804
-127.188,-116.869,60.336,21.574
-92.403,-133.052,60.231,17.002
-62.108,-143.899,60.124,12.187
-37.433,-149.659,60.017,7.218
-17.507,-151.738,59.952,4.193
0.0,-152.147,59.957,4.41
17.516,-151.899,59.993,6.162
37.48,-149.92,60.084,10.491
62.191,-144.164,60.196,15.667
92.505,-133.292,60.3,20.357
127.297,-117.075,60.399,24.679
164.831,-95.735,60.507,28.614
200.751,-71.597,60.65,32.25
228.504,-48.114,60.759,37.055
244.116,-28.269,61.045,45.83
249.788,-11.283,61.296,55.487
250.446,3.619,61.341,58.351
248.997,19.034,61.404,63.506
241.821,36.291,61.359,72.148
225.339,55.224,61.255,77.762
200.243,75.31,61.253,79.43
169.787,94.881,61.172,79.818
137.55,112.855,61.086,79.939
105.161,128.624,61.056,80.241
73.258,141.418,61.033,80.817
42.534,150.592,61.014,81.695
13.664,155.499,60.998,82.572
0.0,157.235,55.409,86.901
-28.013,154.715,55.416,84.766
-58.085,147.557,55.427,82.947
-89.679,136.433,55.437,81.88
-122.102,121.981,55.447,81.374
-154.638,104.823,55.455,81.241
-186.366,85.637,55.462,81.206
-214.775,65.54,55.472,80.309
-236.139,45.919,55.499,76.678
-247.807,27.654,55.531,67.92
-251.499,11.168,55.509,59.399
-251.776,-3.67,55.496,57.007
-249.213,-19.608,55.443,49.591
-239.007,-37.912,55.328,38.851
-216.999,-59.67,55.248,31.784
-184.231,-84.067,55.21,27.52
-146.616,-107.437,55.175,23.413
-109.936,-126.381,55.134,18.797
-77.019,-139.917,55.089,13.865
-49.303,-148.117,55.042,8.408
-27.144,-151.734,55.002,2.688
-8.646,-152.813,54.997,0.0
8.646,-152.814,54.997,2.279
27.173,-151.992,55.026,6.633
49.382,-148.436,55.073,12.254
77.125,-140.204,55.119,17.523
110.054,-126.629,55.161,22.183
146.737,-107.645,55.2,26.481
184.348,-84.238,55.231,30.275
217.12,-59.813,55.268,34.286
239.127,-38.001,55.346,41.187
249.323,-19.639,55.458,51.833
251.869,-3.672,55.508,59.193
251.582,11.175,55.52,61.543
247.858,27.676,55.539,70.012
236.161,45.938,55.502,78.681
214.802,65.575,55.476,82.217
186.388,85.67,55.466,83.078
154.646,104.838,55.457,83.117
122.11,121.996,55.449,83.243
89.685,136.447,55.439,83.712
58.088,147.568,55.428,84.68
28.014,154.721,55.417,86.178
-13.784,156.954,49.585,87.902
-42.899,152.031,49.589,85.033
-73.864,142.802,49.591,83.409
-106.004,129.923,49.588,82.592
-138.612,114.023,49.581,82.296
-170.943,95.726,49.569,82.317
-201.473,75.871,49.548,81.994
-226.86,55.833,49.513,80.0
-243.546,36.759,49.456,73.422
-250.736,19.232,49.431,63.666
-252.151,3.644,49.443,57.95
-251.461,-11.385,49.459,54.867
-245.659,-28.544,49.541,44.419
-229.837,-48.459,49.637,35.07
-201.831,-71.933,49.687,29.924
-165.807,-96.327,49.718,25.94
-128.055,-117.796,49.743,21.637
-93.023,-134.044,49.765,16.997
-62.509,-144.905,49.788,12.109
-37.661,-150.635,49.811,7.042
-17.608,-152.684,49.825,3.966
0.0,-153.097,49.824,4.252
17.618,-152.87,49.815,6.023
37.714,-150.934,49.795,10.42
62.603,-145.206,49.772,15.674
93.138,-134.316,49.751,20.424
128.178,-118.03,49.729,24.807
165.93,-96.523,49.705,28.808
201.959,-72.102,49.674,32.515
229.959,-48.579,49.625,37.459
245.783,-28.606,49.53,46.692
251.566,-11.397,49.449,57.08
252.246,3.645,49.434,60.124
250.809,19.248,49.424,65.808
243.582,36.783,49.453,75.547
226.875,55.85,49.511,82.127
201.491,75.898,49.546,84.131
170.952,95.741,49.568,84.46
138.62,114.039,49.58,84.438
106.011,129.938,49.587,84.726
73.868,142.815,49.59,85.531
42.9,152.039,49.589,87.143
13.784,156.951,49.585,90.0
0.0,157.209,43.557,87.585
-27.996,154.698,43.557,85.29
-58.025,147.56,43.553,83.406
-89.56,136.465,43.541,82.318
-121.91,122.049,43.522,81.8
-154.362,104.931,43.494,81.65
-185.993,85.779,43.457,81.573
-214.323,65.719,43.393,80.573
-235.676,46.114,43.267,76.786
-247.359,27.753,43.134,68.042
-251.019,11.168,43.159,59.749
-251.278,-3.665,43.188,57.468
-248.716,-19.662,43.326,50.317
-238.455,-38.026,43.637,39.827
-216.469,-59.761,43.859,32.861
-183.803,-84.1,43.967,28.733
-146.288,-107.383,44.057,24.849
-109.708,-126.277,44.14,20.589
-76.877,-139.79,44.218,16.246
-49.23,-148.027,44.294,11.918
-27.104,-151.735,44.352,8.653
-8.623,-152.785,44.365,7.992
8.623,-152.83,44.357,8.476
27.125,-151.923,44.319,10.677
49.295,-148.292,44.245,14.883
76.976,-140.06,44.166,19.43
109.824,-126.522,44.09,23.681
146.41,-107.593,44.011,27.718
183.931,-84.286,43.922,31.341
216.597,-59.911,43.816,35.247
238.58,-38.12,43.598,42.061
248.833,-19.695,43.291,52.463
251.377,-3.667,43.16,59.562
251.108,11.175,43.133,61.804
247.416,27.776,43.117,70.047
235.7,46.136,43.26,78.724
214.336,65.736,43.388,82.464
186.003,85.795,43.454,83.468
154.371,104.948,43.491,83.57
121.918,122.065,43.518,83.726
89.566,136.48,43.538,84.22
58.029,147.572,43.551,85.232
27.997,154.704,43.556,86.838
-13.653,155.465,37.359,84.121
-42.467,150.589,37.354,82.475
-73.091,141.461,37.338,81.264
-104.864,128.729,37.31,80.562
-137.091,113.013,37.271,80.229
-169.038,94.929,37.221,80.113
-199.208,75.304,37.147,79.639
-224.312,55.478,37.004,77.637
-240.847,36.54,36.755,71.472
-247.965,19.079,36.672,62.636
-249.346,3.603,36.76,57.533
-248.676,-11.286,36.83,54.779
-242.923,-28.372,37.225,45.291
-227.223,-48.134,37.709,36.492
-199.566,-71.396,37.934,31.613
-163.938,-95.46,38.105,27.959
-126.643,-116.692,38.238,24.142
-92.032,-132.785,38.365,20.214
-61.878,-143.589,38.482,16.418
-37.301,-149.392,38.583,13.124
-17.429,-151.551,38.631,11.644
0.0,-151.939,38.631,11.72
17.433,-151.635,38.607,12.524
37.335,-149.584,38.526,15.182
61.953,-143.829,38.407,19.114
92.133,-133.024,38.286,23.061
126.757,-116.909,38.162,26.904
164.055,-95.645,38.034,30.524
199.69,-71.56,37.865,33.963
227.342,-48.251,37.647,38.669
243.044,-28.433,37.166,47.348
248.78,-11.298,36.781,56.753
249.441,3.605,36.715,59.462
248.04,19.096,36.636,64.5
240.886,36.565,36.735,73.217
224.33,55.498,36.994,79.224
199.22,75.321,37.14,81.162
169.049,94.947,37.215,81.656
137.101,113.032,37.265,81.803
104.872,128.748,37.304,82.127
73.097,141.478,37.333,82.754
42.47,150.601,37.35,83.75
13.653,155.469,37.358,84.766
0.0,154.275,31.026,82.296
-27.467,151.803,31.023,81.196
-56.902,144.799,31.009,79.996
-87.794,133.925,30.978,79.168
-119.477,119.802,30.932,78.683
-151.254,103.038,30.871,78.427
-182.227,84.284,30.793,78.175
-209.979,64.631,30.655,77.093
-230.921,45.388,30.381,73.56
-242.393,27.295,30.097,65.809
-245.984,10.957,30.158,58.658
-246.237,-3.593,30.224,56.701
-243.743,-19.341,30.504,50.491
-233.663,-37.449,31.179,41.102
-212.075,-58.77,31.683,34.628
-180.077,-82.611,31.922,30.861
-143.365,-105.449,32.103,27.455
-107.554,-123.988,32.274,23.861
-75.41,-137.284,32.428,20.411
-48.321,-145.449,32.564,17.288
-26.602,-149.188,32.657,15.225
-8.449,-150.237,32.681,14.813
8.449,-150.261,32.671,15.067
26.614,-149.301,32.611,16.414
48.368,-145.64,32.485,19.348
75.49,-137.501,32.334,22.883
107.654,-124.198,32.177,26.416
143.473,-105.637,32.01,29.918
180.192,-82.777,31.832,33.15
212.187,-58.901,31.601,36.743
233.78,-37.536,31.099,43.078
243.853,-19.372,30.433,52.357
246.329,-3.595,30.164,58.49
246.069,10.965,30.104,60.4
242.449,27.318,30.06,67.432
230.947,45.412,30.363,74.978
209.994,64.65,30.643,78.362
182.239,84.302,30.783,79.422
151.265,103.058,30.862,79.711
119.487,119.822,30.923,79.981
87.802,133.943,30.97,80.425
56.906,144.815,31.002,81.118
27.469,151.813,31.019,81.978
-13.276,151.139,24.594,79.798
-41.271,146.392,24.585,78.743
-71.003,137.521,24.558,77.847
-101.839,125.158,24.51,77.243
-133.109,109.905,24.443,76.868
-164.107,92.357,24.359,76.622
-193.387,73.313,24.232,76.026
-217.768,54.056,23.991,74.07
-233.848,35.607,23.575,68.516
-240.781,18.568,23.434,60.911
-242.13,3.499,23.575,56.578
-241.491,-10.98,23.682,54.226
-235.913,-27.674,24.315,46.019
-220.635,-46.946,25.126,38.083
-193.728,-69.494,25.547,33.624
-159.196,-92.915,25.787,30.406
-123.015,-113.548,25.996,27.168
-89.439,-129.215,26.186,23.977
-60.174,-139.775,26.351,21.074
-36.285,-145.496,26.484,18.732
-16.938,-147.637,26.549,17.723
0.0,-148.008,26.554,17.744
16.941,-147.69,26.523,18.272
36.308,-145.628,26.417,20.129
60.231,-139.957,26.254,23.087
89.521,-129.409,26.077,26.246
123.112,-113.731,25.886,29.466
159.298,-93.077,25.682,32.601
193.832,-69.632,25.448,35.669
220.742,-47.052,25.031,39.988
236.022,-27.729,24.225,47.801
241.585,-10.991,23.606,55.9
242.217,3.5,23.506,58.201
240.851,18.584,23.377,62.446
233.887,35.632,23.541,69.867
217.787,54.078,23.973,75.202
193.401,73.332,24.219,77.077
164.118,92.377,24.346,77.689
133.12,109.925,24.431,77.966
101.848,125.178,24.498,78.331
