ymd,hm,theta_origin,theta_next
2025-09-17,2025-10-14 10:00:00,84.382,79.44714718352498
2025-09-17,2025-10-14 10:00:00,82.821,77.8861425448531
2025-09-17,2025-10-14 10:00:00,81.461,76.52614193450154
2025-09-17,2025-10-14 10:00:00,80.224,75.02345590269972
2025-09-17,2025-10-14 10:00:00,79.007,73.474955174885
2025-09-17,2025-10-14 10:00:00,77.659,72.12694797273656
2025-09-17,2025-10-14 10:00:00,76.168,70.63595065828343
2025-09-17,2025-10-14 10:00:00,75.011,69.47895297761937
2025-09-17,2025-10-14 10:00:00,74.082,69.29327524816094
2025-09-17,2025-10-14 10:00:00,73.234,69.29824744346391
2025-09-17,2025-10-14 10:00:00,72.646,68.71025000694047
2025-09-17,2025-10-14 10:00:00,72.493,68.55724249961625
2025-09-17,2025-10-14 10:00:00,71.9,67.96424780967484
2025-09-17,2025-10-14 10:00:00,70.667,66.73124610069047
2025-09-17,2025-10-14 10:00:00,68.861,64.9252463448311
2025-09-17,2025-10-14 10:00:00,66.229,62.06924498496527
2025-09-17,2025-10-14 10:00:00,63.0,58.59015453695572
2025-09-17,2025-10-14 10:00:00,60.603,56.19315517782486
2025-09-17,2025-10-14 10:00:00,59.826,55.41615475057877
2025-09-17,2025-10-14 10:00:00,59.867,57.900289136195745
2025-09-17,2025-10-14 10:00:00,60.219,62.494546087637744
2025-09-17,2025-10-14 10:00:00,60.607,62.88254276122173
2025-09-17,2025-10-14 10:00:00,60.771,63.04654422606548
2025-09-17,2025-10-14 10:00:00,61.343,63.618542822256885
2025-09-17,2025-10-14 10:00:00,62.32,64.59554401244243
2025-09-17,2025-10-14 10:00:00,63.615,65.890545996085
2025-09-17,2025-10-14 10:00:00,65.765,71.3549334443489
2025-09-17,2025-10-14 10:00:00,69.286,79.22653120850703
2025-09-17,2025-10-14 10:00:00,72.793,82.73352736329218
2025-09-17,2025-10-14 10:00:00,75.202,80.77102560761227
2025-09-17,2025-10-14 10:00:00,76.793,71.03094752587145
2025-09-17,2025-10-14 10:00:00,78.008,72.24595149315661
2025-09-17,2025-10-14 10:00:00,78.609,72.8469494179613
2025-09-17,2025-10-14 10:00:00,78.744,72.98195155419177
2025-09-17,2025-10-14 10:00:00,79.487,73.72494777001208
2025-09-17,2025-10-14 10:00:00,80.705,74.94295008934802
2025-09-17,2025-10-14 10:00:00,82.253,77.35428330733512
2025-09-17,2025-10-14 10:00:00,84.112,80.69339832413314
2025-09-17,2025-10-14 10:00:00,85.994,82.92175150880148
2025-09-17,2025-10-14 10:00:00,86.928,83.85574961671163
2025-09-17,2025-10-14 10:00:00,86.953,83.22316600277128
2025-09-17,2025-10-14 10:00:00,86.492,81.557140164482
2025-09-17,2025-10-14 10:00:00,85.67,80.7351415682906
2025-09-17,2025-10-14 10:00:00,83.666,78.73114376555623
2025-09-17,2025-10-14 10:00:00,82.218,77.28314571868123
2025-09-17,2025-10-14 10:00:00,80.96,76.02514248381794
2025-09-17,2025-10-14 10:00:00,79.809,74.35467609497704
2025-09-17,2025-10-14 10:00:00,78.644,73.11194858308812
2025-09-17,2025-10-14 10:00:00,77.31,71.77794894929906
2025-09-17,2025-10-14 10:00:00,76.074,70.5419488882639
2025-09-17,2025-10-14 10:00:00,75.029,69.89792619701007
2025-09-17,2025-10-14 10:00:00,73.981,69.62729625147695
2025-09-17,2025-10-14 10:00:00,73.061,69.12524329307328
2025-09-17,2025-10-14 10:00:00,72.595,68.65924750449906
2025-09-17,2025-10-14 10:00:00,72.339,68.40324317100297
2025-09-17,2025-10-14 10:00:00,71.257,67.32125006797563
2025-09-17,2025-10-14 10:00:00,69.593,65.65724860313188
2025-09-17,2025-10-14 10:00:00,67.347,63.411246405866244
2025-09-17,2025-10-14 10:00:00,64.432,60.08879774571564
2025-09-17,2025-10-14 10:00:00,61.51,57.100152858488926
2025-09-17,2025-10-14 10:00:00,60.087,55.67715633749283
2025-09-17,2025-10-14 10:00:00,59.819,55.40915478109635
2025-09-17,2025-10-14 10:00:00,60.046,59.45390869459158
2025-09-17,2025-10-14 10:00:00,60.464,62.73954501952251
2025-09-17,2025-10-14 10:00:00,60.72,62.99554553832134
2025-09-17,2025-10-14 10:00:00,61.036,63.311543615713916
