ymd,hm,theta_origin,theta_next
2025-03-23,2025-10-14 14:00:00,69.908,68.44080530337948
2025-03-23,2025-10-14 14:00:00,68.348,66.88080774478573
2025-03-23,2025-10-14 14:00:00,67.149,65.68181024722713
2025-03-23,2025-10-14 14:00:00,66.293,64.81730769394926
2025-03-23,2025-10-14 14:00:00,65.871,64.38470522168794
2025-03-23,2025-10-14 14:00:00,66.042,64.55570284131684
2025-03-23,2025-10-14 14:00:00,66.956,65.4697043061606
2025-03-23,2025-10-14 14:00:00,68.294,66.80770174268403
2025-03-23,2025-10-14 14:00:00,69.464,67.67475974484888
2025-03-23,2025-10-14 14:00:00,70.171,68.0341331790316
2025-03-23,2025-10-14 14:00:00,70.509,68.37213824494957
2025-03-23,2025-10-14 14:00:00,70.57,68.43313525422691
2025-03-23,2025-10-14 14:00:00,70.651,68.51413653596519
2025-03-23,2025-10-14 14:00:00,70.64,68.50313494905113
2025-03-23,2025-10-14 14:00:00,70.202,68.0651390384066
2025-03-23,2025-10-14 14:00:00,69.593,67.81834989918391
2025-03-23,2025-10-14 14:00:00,69.723,68.3527582930253
2025-03-23,2025-10-14 14:00:00,70.999,69.6287592695878
2025-03-23,2025-10-14 14:00:00,72.399,71.02876079546671
2025-03-23,2025-10-14 14:00:00,73.665,73.20087230252965
2025-03-23,2025-10-14 14:00:00,74.874,75.98324517342061
2025-03-23,2025-10-14 14:00:00,75.714,76.82324151131124
2025-03-23,2025-10-14 14:00:00,75.906,77.01524285408468
2025-03-23,2025-10-14 14:00:00,76.766,77.87524346443624
2025-03-23,2025-10-14 14:00:00,78.061,79.17024163338155
2025-03-23,2025-10-14 14:00:00,79.5,80.6092446241042
2025-03-23,2025-10-14 14:00:00,81.647,84.10733137207541
2025-03-23,2025-10-14 14:00:00,85.047,89.28080896023715
2025-03-23,2025-10-14 14:00:00,88.443,90.0
2025-03-23,2025-10-14 14:00:00,90.0,90.0
2025-03-23,2025-10-14 14:00:00,88.857,87.62060963289325
2025-03-23,2025-10-14 14:00:00,87.848,86.61160694734637
2025-03-23,2025-10-14 14:00:00,87.35,86.11360584871356
2025-03-23,2025-10-14 14:00:00,87.281,86.04460560457294
2025-03-23,2025-10-14 14:00:00,86.768,85.53160511629169
2025-03-23,2025-10-14 14:00:00,85.798,84.56160389558856
2025-03-23,2025-10-14 14:00:00,84.303,83.25111592461879
2025-03-23,2025-10-14 14:00:00,82.023,81.2874382107975
2025-03-23,2025-10-14 14:00:00,79.149,78.48745738020855
2025-03-23,2025-10-14 14:00:00,76.668,76.00645457259137
2025-03-23,2025-10-14 14:00:00,74.7,73.75402177249518
2025-03-23,2025-10-14 14:00:00,73.053,71.58580957584041
2025-03-23,2025-10-14 14:00:00,71.522,70.05481134585995
2025-03-23,2025-10-14 14:00:00,69.139,67.67180811099666
2025-03-23,2025-10-14 14:00:00,67.779,66.3118075006451
2025-03-23,2025-10-14 14:00:00,66.766,65.29880701236385
2025-03-23,2025-10-14 14:00:00,66.136,64.65219121208655
2025-03-23,2025-10-14 14:00:00,66.006,64.51969972852388
2025-03-23,2025-10-14 14:00:00,66.532,65.04570070508638
2025-03-23,2025-10-14 14:00:00,67.702,66.21570650342622
2025-03-23,2025-10-14 14:00:00,68.992,67.34228286629137
2025-03-23,2025-10-14 14:00:00,69.963,67.9964690163895
2025-03-23,2025-10-14 14:00:00,70.493,68.356131775223
2025-03-23,2025-10-14 14:00:00,70.682,68.54513476594566
2025-03-23,2025-10-14 14:00:00,70.749,68.6121361087191
2025-03-23,2025-10-14 14:00:00,70.891,68.75413439973472
2025-03-23,2025-10-14 14:00:00,70.759,68.62213824494957
2025-03-23,2025-10-14 14:00:00,70.201,68.06413195832847
2025-03-23,2025-10-14 14:00:00,69.815,68.33699544760853
2025-03-23,2025-10-14 14:00:00,70.536,69.16576183306437
2025-03-23,2025-10-14 14:00:00,71.828,70.4577616499589
2025-03-23,2025-10-14 14:00:00,73.13,71.75975597368937
2025-03-23,2025-10-14 14:00:00,74.357,74.40269398656916
2025-03-23,2025-10-14 14:00:00,75.459,76.56824425789327
2025-03-23,2025-10-14 14:00:00,75.889,76.99824456306905
2025-03-23,2025-10-14 14:00:00,76.34,77.44924096199483
2025-03-23,2025-10-14 14:00:00,77.519,78.62824181648702
2025-03-23,2025-10-14 14:00:00,78.849,79.9582436475417
2025-03-23,2025-10-14 14:00:00,80.517,81.62624291511983
2025-03-23,2025-10-14 14:00:00,83.082,87.01776608449879
2025-03-23,2025-10-14 14:00:00,86.552,90.0
2025-03-23,2025-10-14 14:00:00,89.074,90.0
2025-03-23,2025-10-14 14:00:00,89.252,90.0
2025-03-23,2025-10-14 14:00:00,88.231,86.99461018220966
2025-03-23,2025-10-14 14:00:00,87.389,86.15260731355731
2025-03-23,2025-10-14 14:00:00,87.228,85.99160420076434
2025-03-23,2025-10-14 14:00:00,86.867,85.63060413972919
2025-03-23,2025-10-14 14:00:00,85.965,84.72860371248309
2025-03-23,2025-10-14 14:00:00,84.614,83.3776057876784
2025-03-23,2025-10-14 14:00:00,82.759,81.88744371438814
2025-03-23,2025-10-14 14:00:00,80.273,79.61145792952496
2025-03-23,2025-10-14 14:00:00,77.691,77.02945719710308
2025-03-23,2025-10-14 14:00:00,75.612,74.95045481673199
2025-03-23,2025-10-14 14:00:00,73.902,72.67718873570823
2025-03-23,2025-10-14 14:00:00,72.374,70.90680872134823
2025-03-23,2025-10-14 14:00:00,70.83,69.36281000308651
2025-03-23,2025-10-14 14:00:00,70.15,68.68280969791073
