ymd,hm,theta_origin,theta_next
2025-03-23,2025-10-14 14:00:00,69.908,69.8768072109001
2025-03-23,2025-10-14 14:00:00,68.348,68.31680965230635
2025-03-23,2025-10-14 14:00:00,67.149,67.11781215474775
2025-03-23,2025-10-14 14:00:00,66.293,64.84986516986537
2025-03-23,2025-10-14 14:00:00,65.871,62.66614061652882
2025-03-23,2025-10-14 14:00:00,66.042,62.83713823615773
2025-03-23,2025-10-14 14:00:00,66.956,63.75113970100148
2025-03-23,2025-10-14 14:00:00,68.294,65.08913713752492
2025-03-23,2025-10-14 14:00:00,69.464,65.74721245001241
2025-03-23,2025-10-14 14:00:00,70.171,65.86677586308315
2025-03-23,2025-10-14 14:00:00,70.509,66.20478092900112
2025-03-23,2025-10-14 14:00:00,70.57,66.26577793827846
2025-03-23,2025-10-14 14:00:00,70.651,66.34677922001674
2025-03-23,2025-10-14 14:00:00,70.64,66.33577763310268
2025-03-23,2025-10-14 14:00:00,70.202,65.89778172245815
2025-03-23,2025-10-14 14:00:00,69.593,68.62142554168871
2025-03-23,2025-10-14 14:00:00,69.723,72.47233397548604
2025-03-23,2025-10-14 14:00:00,70.999,73.74833495204854
2025-03-23,2025-10-14 14:00:00,72.399,75.14833647792744
2025-03-23,2025-10-14 14:00:00,73.665,76.88944854737187
2025-03-23,2025-10-14 14:00:00,74.874,78.92343437407605
2025-03-23,2025-10-14 14:00:00,75.714,79.76343071196668
2025-03-23,2025-10-14 14:00:00,75.906,79.95543205474011
2025-03-23,2025-10-14 14:00:00,76.766,80.81543266509168
2025-03-23,2025-10-14 14:00:00,78.061,82.11043083403699
2025-03-23,2025-10-14 14:00:00,79.5,83.54943382475965
2025-03-23,2025-10-14 14:00:00,81.647,85.32569006764673
2025-03-23,2025-10-14 14:00:00,85.047,88.23902744017741
2025-03-23,2025-10-14 14:00:00,88.443,90.0
2025-03-23,2025-10-14 14:00:00,90.0,90.0
2025-03-23,2025-10-14 14:00:00,88.857,90.0
2025-03-23,2025-10-14 14:00:00,87.848,90.0
2025-03-23,2025-10-14 14:00:00,87.35,90.0
2025-03-23,2025-10-14 14:00:00,87.281,90.0
2025-03-23,2025-10-14 14:00:00,86.768,90.0
2025-03-23,2025-10-14 14:00:00,85.798,89.34097222973111
2025-03-23,2025-10-14 14:00:00,84.303,85.92795390568618
2025-03-23,2025-10-14 14:00:00,82.023,80.35967520424416
2025-03-23,2025-10-14 14:00:00,79.149,76.71621102604033
2025-03-23,2025-10-14 14:00:00,76.668,74.23520821842314
2025-03-23,2025-10-14 14:00:00,74.7,73.11508152064467
2025-03-23,2025-10-14 14:00:00,73.053,73.02181148336103
2025-03-23,2025-10-14 14:00:00,71.522,71.49081325338057
2025-03-23,2025-10-14 14:00:00,69.139,69.10781001851728
2025-03-23,2025-10-14 14:00:00,67.779,67.74780940816572
2025-03-23,2025-10-14 14:00:00,66.766,66.73480891988447
2025-03-23,2025-10-14 14:00:00,66.136,63.344204301336305
2025-03-23,2025-10-14 14:00:00,66.006,62.80113512336476
2025-03-23,2025-10-14 14:00:00,66.532,63.32713609992726
2025-03-23,2025-10-14 14:00:00,67.702,64.4971418982671
2025-03-23,2025-10-14 14:00:00,68.992,65.51098541184975
2025-03-23,2025-10-14 14:00:00,69.963,65.94661767557692
2025-03-23,2025-10-14 14:00:00,70.493,66.18877445927455
2025-03-23,2025-10-14 14:00:00,70.682,66.37777744999721
2025-03-23,2025-10-14 14:00:00,70.749,66.44477879277065
2025-03-23,2025-10-14 14:00:00,70.891,66.58677708378627
2025-03-23,2025-10-14 14:00:00,70.759,66.45478092900112
2025-03-23,2025-10-14 14:00:00,70.201,65.89677464238002
2025-03-23,2025-10-14 14:00:00,69.815,71.57280468723118
2025-03-23,2025-10-14 14:00:00,70.536,73.2853375155251
2025-03-23,2025-10-14 14:00:00,71.828,74.57733733241963
2025-03-23,2025-10-14 14:00:00,73.13,75.8793316561501
2025-03-23,2025-10-14 14:00:00,74.357,77.84877027700185
2025-03-23,2025-10-14 14:00:00,75.459,79.50843345854871
2025-03-23,2025-10-14 14:00:00,75.889,79.93843376372449
2025-03-23,2025-10-14 14:00:00,76.34,80.38943016265027
2025-03-23,2025-10-14 14:00:00,77.519,81.56843101714246
2025-03-23,2025-10-14 14:00:00,78.849,82.89843284819715
2025-03-23,2025-10-14 14:00:00,80.517,84.56643211577527
2025-03-23,2025-10-14 14:00:00,83.082,86.35581718961653
2025-03-23,2025-10-14 14:00:00,86.552,89.74403232298991
2025-03-23,2025-10-14 14:00:00,89.074,90.0
2025-03-23,2025-10-14 14:00:00,89.252,90.0
2025-03-23,2025-10-14 14:00:00,88.231,90.0
2025-03-23,2025-10-14 14:00:00,87.389,90.0
2025-03-23,2025-10-14 14:00:00,87.228,90.0
2025-03-23,2025-10-14 14:00:00,86.867,90.0
2025-03-23,2025-10-14 14:00:00,85.965,89.50797204662564
2025-03-23,2025-10-14 14:00:00,84.614,88.15697412182095
2025-03-23,2025-10-14 14:00:00,82.759,82.50939133282435
2025-03-23,2025-10-14 14:00:00,80.273,77.84021157535673
2025-03-23,2025-10-14 14:00:00,77.691,75.25821084293486
2025-03-23,2025-10-14 14:00:00,75.612,73.17920846256376
2025-03-23,2025-10-14 14:00:00,73.902,73.14828524059035
2025-03-23,2025-10-14 14:00:00,72.374,72.34281062886885
2025-03-23,2025-10-14 14:00:00,70.83,70.79881191060713
2025-03-23,2025-10-14 14:00:00,70.15,70.11881160543135
2025-03-23,2025-10-14 14:00:00,68.578,68.54681300923994
2025-03-23,2025-10-14 14:00:00,67.418,67.38680934713057
2025-03-23,2025-10-14 14:00:00,66.629,64.66206088382846
2025-03-23,2025-10-14 14:00:00,66.273,63.068141043774915
2025-03-23,2025-10-14 14:00:00,66.472,63.26713854133351
2025-03-23,2025-10-14 14:00:00,67.326,64.12113481818898
2025-03-23,2025-10-14 14:00:00,68.571,65.24024667151119
2025-03-23,2025-10-14 14:00:00,69.732,65.86730657695863
2025-03-23,2025-10-14 14:00:00,70.525,66.22077976933315
2025-03-23,2025-10-14 14:00:00,70.917,66.61277806034877
2025-03-23,2025-10-14 14:00:00,71.002,66.69777714482143
2025-03-23,2025-10-14 14:00:00,71.194,66.88977848759487
2025-03-23,2025-10-14 14:00:00,71.34,67.03577458134487
2025-03-23,2025-10-14 14:00:00,71.064,66.7597812341769
2025-03-23,2025-10-14 14:00:00,70.516,68.24360351665675
2025-03-23,2025-10-14 14:00:00,70.507,73.25633818691182
2025-03-23,2025-10-14 14:00:00,71.486,74.23533446376729
2025-03-23,2025-10-14 14:00:00,72.697,75.44633299892354
2025-03-23,2025-10-14 14:00:00,73.907,77.0019689774199
2025-03-23,2025-10-14 14:00:00,75.134,79.18343651030652
2025-03-23,2025-10-14 14:00:00,75.989,80.03843223784558
2025-03-23,2025-10-14 14:00:00,76.188,80.23743736479871
2025-03-23,2025-10-14 14:00:00,77.1,81.14943229888074
2025-03-23,2025-10-14 14:00:00,78.427,82.47643577788465
2025-03-23,2025-10-14 14:00:00,79.813,83.86243736479871
2025-03-23,2025-10-14 14:00:00,81.708,85.17366119925208
2025-03-23,2025-10-14 14:00:00,84.573,87.76502841673991
2025-03-23,2025-10-14 14:00:00,87.314,90.0
2025-03-23,2025-10-14 14:00:00,88.625,90.0
2025-03-23,2025-10-14 14:00:00,88.368,90.0
2025-03-23,2025-10-14 14:00:00,87.482,90.0
2025-03-23,2025-10-14 14:00:00,86.892,90.0
2025-03-23,2025-10-14 14:00:00,86.755,90.0
2025-03-23,2025-10-14 14:00:00,85.975,89.51797418285611
2025-03-23,2025-10-14 14:00:00,84.613,88.15597467113736
2025-03-23,2025-10-14 14:00:00,82.969,84.73926132847969
2025-03-23,2025-10-14 14:00:00,80.965,78.53220528873564
2025-03-23,2025-10-14 14:00:00,78.618,76.18520516666533
2025-03-23,2025-10-14 14:00:00,76.537,74.10421151432158
2025-03-23,2025-10-14 14:00:00,74.811,72.83231232524821
2025-03-23,2025-10-14 14:00:00,73.297,73.26580714986494
2025-03-23,2025-10-14 14:00:00,71.816,71.78481197164228
2025-03-23,2025-10-14 14:00:00,69.523,69.49181270406416
2025-03-23,2025-10-14 14:00:00,68.191,68.15981197164228
2025-03-23,2025-10-14 14:00:00,67.255,66.50180781765813
2025-03-23,2025-10-14 14:00:00,66.719,63.51414018928273
2025-03-23,2025-10-14 14:00:00,66.664,63.459139884106946
2025-03-23,2025-10-14 14:00:00,67.193,63.98813921272023
2025-03-23,2025-10-14 14:00:00,68.263,65.05813890754445
2025-03-23,2025-10-14 14:00:00,69.475,65.84447972689927
2025-03-23,2025-10-14 14:00:00,70.495,66.1963974668653
2025-03-23,2025-10-14 14:00:00,71.12,66.81578099003627
2025-03-23,2025-10-14 14:00:00,71.369,67.06478153935268
2025-03-23,2025-10-14 14:00:00,71.482,67.17778050175502
2025-03-23,2025-10-14 14:00:00,71.775,67.47077976933315
2025-03-23,2025-10-14 14:00:00,71.828,67.52378117314174
2025-03-23,2025-10-14 14:00:00,71.392,68.01101184026014
2025-03-23,2025-10-14 14:00:00,70.97,71.93132314924286
2025-03-23,2025-10-14 14:00:00,71.387,74.13633544032979
2025-03-23,2025-10-14 14:00:00,72.39,75.13933379238057
2025-03-23,2025-10-14 14:00:00,73.539,76.28833586757588
2025-03-23,2025-10-14 14:00:00,74.752,78.09375847598913
2025-03-23,2025-10-14 14:00:00,75.883,79.93243705962293
2025-03-23,2025-10-14 14:00:00,76.332,80.38143455718152
2025-03-23,2025-10-14 14:00:00,76.808,80.85743248198621
2025-03-23,2025-10-14 14:00:00,78.034,82.0834304067909
2025-03-23,2025-10-14 14:00:00,79.372,83.42143547270886
2025-03-23,2025-10-14 14:00:00,80.87,84.70520883288208
2025-03-23,2025-10-14 14:00:00,82.991,86.18302768431803
2025-03-23,2025-10-14 14:00:00,85.677,88.86903232298991
2025-03-23,2025-10-14 14:00:00,87.425,90.0
2025-03-23,2025-10-14 14:00:00,87.909,90.0
2025-03-23,2025-10-14 14:00:00,87.505,90.0
2025-03-23,2025-10-14 14:00:00,86.704,90.0
2025-03-23,2025-10-14 14:00:00,86.473,90.0
2025-03-23,2025-10-14 14:00:00,85.977,89.5199730842233
2025-03-23,2025-10-14 14:00:00,84.77,88.31297235180142
2025-03-23,2025-10-14 14:00:00,83.125,86.66797570873501
2025-03-23,2025-10-14 14:00:00,81.426,81.17239443215247
2025-03-23,2025-10-14 14:00:00,79.466,77.03321236881376
2025-03-23,2025-10-14 14:00:00,77.454,75.02121133121611
2025-03-23,2025-10-14 14:00:00,75.736,73.30320901188017
2025-03-23,2025-10-14 14:00:00,74.237,73.01406455181852
2025-03-23,2025-10-14 14:00:00,72.814,72.7828130702751
2025-03-23,2025-10-14 14:00:00,71.289,71.25781154439619
2025-03-23,2025-10-14 14:00:00,70.675,70.64381313131025
2025-03-23,2025-10-14 14:00:00,69.104,69.07280635640791
2025-03-23,2025-10-14 14:00:00,68.013,67.98181056783369
2025-03-23,2025-10-14 14:00:00,67.323,65.7869669372345
2025-03-23,2025-10-14 14:00:00,67.067,63.862139762036634
2025-03-23,2025-10-14 14:00:00,67.323,64.1181364661382
2025-03-23,2025-10-14 14:00:00,68.14,64.93513780891163
2025-03-23,2025-10-14 14:00:00,69.286,65.67859262771435
2025-03-23,2025-10-14 14:00:00,70.416,66.12839586598257
2025-03-23,2025-10-14 14:00:00,71.279,66.98537989019255
