ymd,hm,theta_origin,theta_next
2025-03-07,2025-10-14 16:00:00,45.0,45.27519141562634
2025-03-07,2025-10-14 16:00:00,45.0,45.27519141562634
2025-03-07,2025-10-14 16:00:00,45.0,45.27519141562634
2025-03-07,2025-10-14 16:00:00,45.0,40.37404955192966
2025-03-07,2025-10-14 16:00:00,45.0,34.25873957119214
2025-03-07,2025-10-14 16:00:00,45.0,34.25873957119214
2025-03-07,2025-10-14 16:00:00,45.0,34.25873957119214
2025-03-07,2025-10-14 16:00:00,45.0,34.25873957119214
2025-03-07,2025-10-14 16:00:00,45.0,32.258198380243535
2025-03-07,2025-10-14 16:00:00,45.0,29.962554535399438
2025-03-07,2025-10-14 16:00:00,45.0,29.962554535399438
2025-03-07,2025-10-14 16:00:00,45.0,29.962554535399438
2025-03-07,2025-10-14 16:00:00,45.0,29.962554535399438
2025-03-07,2025-10-14 16:00:00,45.0,29.962554535399438
2025-03-07,2025-10-14 16:00:00,45.0,29.962554535399438
2025-03-07,2025-10-14 16:00:00,45.0,41.40017764282557
2025-03-07,2025-10-14 16:00:00,45.0,54.17032866906938
2025-03-07,2025-10-14 16:00:00,45.0,54.17032866906938
2025-03-07,2025-10-14 16:00:00,45.0,54.17032866906938
2025-03-07,2025-10-14 16:00:00,45.0,56.026284319374575
2025-03-07,2025-10-14 16:00:00,45.0,59.24896407726108
2025-03-07,2025-10-14 16:00:00,45.0,59.24896407726108
2025-03-07,2025-10-14 16:00:00,45.0,59.24896407726108
2025-03-07,2025-10-14 16:00:00,45.0,59.24896407726108
2025-03-07,2025-10-14 16:00:00,45.0,59.24896407726108
2025-03-07,2025-10-14 16:00:00,45.0,59.24896407726108
2025-03-07,2025-10-14 16:00:00,45.0,57.69342494067118
2025-03-07,2025-10-14 16:00:00,45.0,55.65156510068473
2025-03-07,2025-10-14 16:00:00,45.0,55.65156510068473
2025-03-07,2025-10-14 16:00:00,45.0,56.13297890282048
2025-03-07,2025-10-14 16:00:00,45.0,57.38081783870123
2025-03-07,2025-10-14 16:00:00,45.0,57.38081783870123
2025-03-07,2025-10-14 16:00:00,45.0,57.38081783870123
2025-03-07,2025-10-14 16:00:00,45.0,57.38081783870123
2025-03-07,2025-10-14 16:00:00,45.0,57.38081783870123
2025-03-07,2025-10-14 16:00:00,45.0,57.38081783870123
2025-03-07,2025-10-14 16:00:00,45.0,50.927052337047556
2025-03-07,2025-10-14 16:00:00,45.0,39.86264631450955
2025-03-07,2025-10-14 16:00:00,45.0,37.273554688747986
2025-03-07,2025-10-14 16:00:00,45.0,37.273554688747986
2025-03-07,2025-10-14 16:00:00,45.0,40.09850036027611
2025-03-07,2025-10-14 16:00:00,45.0,45.27519141562634
2025-03-07,2025-10-14 16:00:00,45.0,45.27519141562634
2025-03-07,2025-10-14 16:00:00,45.0,45.27519141562634
2025-03-07,2025-10-14 16:00:00,45.0,45.27519141562634
2025-03-07,2025-10-14 16:00:00,45.0,45.27519141562634
2025-03-07,2025-10-14 16:00:00,45.0,35.69256871401534
2025-03-07,2025-10-14 16:00:00,45.0,34.25873957119214
2025-03-07,2025-10-14 16:00:00,45.0,34.25873957119214
2025-03-07,2025-10-14 16:00:00,45.0,34.25873957119214
2025-03-07,2025-10-14 16:00:00,45.0,33.1795750293307
2025-03-07,2025-10-14 16:00:00,45.0,31.08741106684165
2025-03-07,2025-10-14 16:00:00,45.0,29.962554535399438
2025-03-07,2025-10-14 16:00:00,45.0,29.962554535399438
2025-03-07,2025-10-14 16:00:00,45.0,29.962554535399438
2025-03-07,2025-10-14 16:00:00,45.0,29.962554535399438
2025-03-07,2025-10-14 16:00:00,45.0,29.962554535399438
2025-03-07,2025-10-14 16:00:00,45.0,29.962554535399438
2025-03-07,2025-10-14 16:00:00,45.0,50.767394608764484
2025-03-07,2025-10-14 16:00:00,45.0,54.17032866906938
2025-03-07,2025-10-14 16:00:00,45.0,54.17032866906938
2025-03-07,2025-10-14 16:00:00,45.0,54.17032866906938
2025-03-07,2025-10-14 16:00:00,45.0,57.07052967401358
2025-03-07,2025-10-14 16:00:00,45.0,59.24896407726108
2025-03-07,2025-10-14 16:00:00,45.0,59.24896407726108
2025-03-07,2025-10-14 16:00:00,45.0,59.24896407726108
2025-03-07,2025-10-14 16:00:00,45.0,59.24896407726108
2025-03-07,2025-10-14 16:00:00,45.0,59.24896407726108
2025-03-07,2025-10-14 16:00:00,45.0,59.24896407726108
2025-03-07,2025-10-14 16:00:00,45.0,55.9947141575011
2025-03-07,2025-10-14 16:00:00,45.0,55.65156510068473
2025-03-07,2025-10-14 16:00:00,45.0,55.65156510068473
2025-03-07,2025-10-14 16:00:00,45.0,56.618120136936405
2025-03-07,2025-10-14 16:00:00,45.0,57.38081783870123
2025-03-07,2025-10-14 16:00:00,45.0,57.38081783870123
2025-03-07,2025-10-14 16:00:00,45.0,57.38081783870123
2025-03-07,2025-10-14 16:00:00,45.0,57.38081783870123
2025-03-07,2025-10-14 16:00:00,45.0,57.38081783870123
2025-03-07,2025-10-14 16:00:00,45.0,57.38081783870123
2025-03-07,2025-10-14 16:00:00,45.0,44.619518886872484
2025-03-07,2025-10-14 16:00:00,45.0,37.273554688747986
2025-03-07,2025-10-14 16:00:00,45.0,37.273554688747986
2025-03-07,2025-10-14 16:00:00,45.0,37.273554688747986
2025-03-07,2025-10-14 16:00:00,45.0,42.8678871230519
2025-03-07,2025-10-14 16:00:00,45.0,45.27519141562634
2025-03-07,2025-10-14 16:00:00,45.0,45.27519141562634
2025-03-07,2025-10-14 16:00:00,45.0,45.27519141562634
2025-03-07,2025-10-14 16:00:00,45.0,45.27519141562634
2025-03-07,2025-10-14 16:00:00,45.0,45.27519141562634
2025-03-07,2025-10-14 16:00:00,45.0,38.55582474063101
2025-03-07,2025-10-14 16:00:00,45.0,34.25873957119214
2025-03-07,2025-10-14 16:00:00,45.0,34.25873957119214
2025-03-07,2025-10-14 16:00:00,45.0,34.25873957119214
2025-03-07,2025-10-14 16:00:00,45.0,33.76677107563756
2025-03-07,2025-10-14 16:00:00,45.0,31.680176647498353
2025-03-07,2025-10-14 16:00:00,45.0,29.962554535399438
2025-03-07,2025-10-14 16:00:00,45.0,29.962554535399438
2025-03-07,2025-10-14 16:00:00,45.0,29.962554535399438
2025-03-07,2025-10-14 16:00:00,45.0,29.962554535399438
2025-03-07,2025-10-14 16:00:00,45.0,29.962554535399438
2025-03-07,2025-10-14 16:00:00,45.0,29.962554535399438
2025-03-07,2025-10-14 16:00:00,45.0,36.93577403703364
2025-03-07,2025-10-14 16:00:00,45.0,54.17032866906938
2025-03-07,2025-10-14 16:00:00,45.0,54.17032866906938
2025-03-07,2025-10-14 16:00:00,45.0,54.17032866906938
2025-03-07,2025-10-14 16:00:00,45.0,55.5205052314346
2025-03-07,2025-10-14 16:00:00,45.0,59.24896407726108
2025-03-07,2025-10-14 16:00:00,45.0,59.24896407726108
