ymd,hm,theta_origin,theta_next
2025-05-17,2025-10-14 15:00:00,69.953,70.6140889853314
2025-05-17,2025-10-14 15:00:00,70.771,71.43208977878844
2025-05-17,2025-10-14 15:00:00,71.173,71.83408257664
2025-05-17,2025-10-14 15:00:00,71.101,66.47395565359771
2025-05-17,2025-10-14 15:00:00,70.409,59.183789059549376
2025-05-17,2025-10-14 15:00:00,68.929,57.703793332010314
2025-05-17,2025-10-14 15:00:00,66.682,55.456791684061095
2025-05-17,2025-10-14 15:00:00,64.41,53.1847961396275
2025-05-17,2025-10-14 15:00:00,62.612,49.515128406432524
2025-05-17,2025-10-14 15:00:00,61.426,46.18137226358524
2025-05-17,2025-10-14 15:00:00,60.786,45.5413728739368
2025-05-17,2025-10-14 15:00:00,60.667,45.42237339273563
2025-05-17,2025-10-14 15:00:00,60.328,45.08337269083133
2025-05-17,2025-10-14 15:00:00,59.813,44.568373301182895
2025-05-17,2025-10-14 15:00:00,59.591,44.34637317911258
2025-05-17,2025-10-14 15:00:00,59.424,55.712635464749134
2025-05-17,2025-10-14 15:00:00,58.633,67.79856743764894
2025-05-17,2025-10-14 15:00:00,57.175,66.34056725454349
2025-05-17,2025-10-14 15:00:00,55.933,65.09856667470949
2025-05-17,2025-10-14 15:00:00,54.89,66.09357029543477
2025-05-17,2025-10-14 15:00:00,53.942,68.6843586702986
2025-05-17,2025-10-14 15:00:00,53.32,68.06235702234937
2025-05-17,2025-10-14 15:00:00,53.204,67.94635589319898
2025-05-17,2025-10-14 15:00:00,52.613,67.3553562899275
2025-05-17,2025-10-14 15:00:00,51.783,66.52535827357009
2025-05-17,2025-10-14 15:00:00,50.989,65.73135574061111
2025-05-17,2025-10-14 15:00:00,49.946,62.83235275974554
2025-05-17,2025-10-14 15:00:00,48.994,59.44409202306545
2025-05-17,2025-10-14 15:00:00,49.178,59.62809394567287
2025-05-17,2025-10-14 15:00:00,50.001,61.012542231784806
2025-05-17,2025-10-14 15:00:00,51.01,63.476836870996756
2025-05-17,2025-10-14 15:00:00,52.05,64.51683778652409
2025-05-17,2025-10-14 15:00:00,52.591,65.05783815273503
2025-05-17,2025-10-14 15:00:00,52.7,65.166839312403
2025-05-17,2025-10-14 15:00:00,53.456,65.92283983120184
2025-05-17,2025-10-14 15:00:00,54.776,67.24283952602606
2025-05-17,2025-10-14 15:00:00,56.652,62.94767513627743
2025-05-17,2025-10-14 15:00:00,59.17,54.88576222819379
2025-05-17,2025-10-14 15:00:00,62.093,55.33304375811839
2025-05-17,2025-10-14 15:00:00,64.523,57.76304787799144
