ymd,hm,theta_origin,theta_next
2025-09-17,2025-10-14 10:00:00,84.382,85.87243006128878
2025-09-17,2025-10-14 10:00:00,82.821,84.3114254226169
2025-09-17,2025-10-14 10:00:00,81.461,82.95142481226534
2025-09-17,2025-10-14 10:00:00,80.224,78.96702141493189
2025-09-17,2025-10-14 10:00:00,79.007,74.32200330466412
2025-09-17,2025-10-14 10:00:00,77.659,72.97399610251568
2025-09-17,2025-10-14 10:00:00,76.168,71.48299878806256
2025-09-17,2025-10-14 10:00:00,75.011,70.3260011073985
2025-09-17,2025-10-14 10:00:00,74.082,68.87793843431648
2025-09-17,2025-10-14 10:00:00,73.234,67.43430950170202
2025-09-17,2025-10-14 10:00:00,72.646,66.84631206517858
2025-09-17,2025-10-14 10:00:00,72.493,66.69330455785436
2025-09-17,2025-10-14 10:00:00,71.9,66.10030986791296
2025-09-17,2025-10-14 10:00:00,70.667,64.86730815892858
2025-09-17,2025-10-14 10:00:00,68.861,63.06130840306921
2025-09-17,2025-10-14 10:00:00,66.229,64.44730704433971
2025-09-17,2025-10-14 10:00:00,63.0,65.70442622301962
2025-09-17,2025-10-14 10:00:00,60.603,63.30742686388876
2025-09-17,2025-10-14 10:00:00,59.826,62.530426436642664
2025-09-17,2025-10-14 10:00:00,59.867,63.95666791993832
2025-09-17,2025-10-14 10:00:00,60.219,66.7140005667709
2025-09-17,2025-10-14 10:00:00,60.607,67.10199724035489
2025-09-17,2025-10-14 10:00:00,60.771,67.26599870519864
2025-09-17,2025-10-14 10:00:00,61.343,67.83799730139005
2025-09-17,2025-10-14 10:00:00,62.32,68.8149984915756
2025-09-17,2025-10-14 10:00:00,63.615,70.11000047521817
2025-09-17,2025-10-14 10:00:00,65.765,70.61545765998126
2025-09-17,2025-10-14 10:00:00,69.286,71.97777493343247
2025-09-17,2025-10-14 10:00:00,72.793,75.48477108821763
2025-09-17,2025-10-14 10:00:00,75.202,78.4247603721338
2025-09-17,2025-10-14 10:00:00,76.793,81.39208530807656
2025-09-17,2025-10-14 10:00:00,78.008,82.60708927536172
2025-09-17,2025-10-14 10:00:00,78.609,83.2080872001664
2025-09-17,2025-10-14 10:00:00,78.744,83.34308933639687
2025-09-17,2025-10-14 10:00:00,79.487,84.08608555221718
2025-09-17,2025-10-14 10:00:00,80.705,85.30408787155312
2025-09-17,2025-10-14 10:00:00,82.253,85.93242912840607
2025-09-17,2025-10-14 10:00:00,84.112,86.21476326466932
2025-09-17,2025-10-14 10:00:00,85.994,87.72782402754298
2025-09-17,2025-10-14 10:00:00,86.928,88.66182213545314
2025-09-17,2025-10-14 10:00:00,86.953,88.600894227857
2025-09-17,2025-10-14 10:00:00,86.492,87.98242304224581
2025-09-17,2025-10-14 10:00:00,85.67,87.1604244460544
2025-09-17,2025-10-14 10:00:00,83.666,85.15642664332003
2025-09-17,2025-10-14 10:00:00,82.218,83.70842859644503
2025-09-17,2025-10-14 10:00:00,80.96,82.45042536158175
2025-09-17,2025-10-14 10:00:00,79.809,75.92775068591757
2025-09-17,2025-10-14 10:00:00,78.644,73.95899671286725
2025-09-17,2025-10-14 10:00:00,77.31,72.62499707907818
2025-09-17,2025-10-14 10:00:00,76.074,71.38899701804303
2025-09-17,2025-10-14 10:00:00,75.029,70.06399806121557
2025-09-17,2025-10-14 10:00:00,73.981,68.47316721315283
2025-09-17,2025-10-14 10:00:00,73.061,67.26130535131139
2025-09-17,2025-10-14 10:00:00,72.595,66.79530956273717
2025-09-17,2025-10-14 10:00:00,72.339,66.53930522924108
2025-09-17,2025-10-14 10:00:00,71.257,65.45731212621374
2025-09-17,2025-10-14 10:00:00,69.593,63.79331066136999
2025-09-17,2025-10-14 10:00:00,67.347,61.54730846410437
2025-09-17,2025-10-14 10:00:00,64.432,65.94098498013261
2025-09-17,2025-10-14 10:00:00,61.51,64.21442454455281
2025-09-17,2025-10-14 10:00:00,60.087,62.791428023556726
2025-09-17,2025-10-14 10:00:00,59.819,62.52342646716024
2025-09-17,2025-10-14 10:00:00,60.046,64.91506864927813
2025-09-17,2025-10-14 10:00:00,60.464,66.95899949865567
2025-09-17,2025-10-14 10:00:00,60.72,67.2150000174545
2025-09-17,2025-10-14 10:00:00,61.036,67.53099809484708
2025-09-17,2025-10-14 10:00:00,61.858,68.35300050573575
2025-09-17,2025-10-14 10:00:00,62.961,69.45599733190762
2025-09-17,2025-10-14 10:00:00,64.57,71.0649984915756
2025-09-17,2025-10-14 10:00:00,67.216,70.27055783742732
2025-09-17,2025-10-14 10:00:00,70.826,73.51776821956528
2025-09-17,2025-10-14 10:00:00,73.666,76.35777218685044
2025-09-17,2025-10-14 10:00:00,75.657,79.41485089264121
2025-09-17,2025-10-14 10:00:00,77.242,81.84108280563515
2025-09-17,2025-10-14 10:00:00,78.377,82.97608494186562
2025-09-17,2025-10-14 10:00:00,78.619,83.21808933639687
2025-09-17,2025-10-14 10:00:00,79.149,83.74808811569375
2025-09-17,2025-10-14 10:00:00,80.343,84.94208835983437
2025-09-17,2025-10-14 10:00:00,81.927,86.52608799362343
2025-09-17,2025-10-14 10:00:00,83.687,86.46760989631119
2025-09-17,2025-10-14 10:00:00,85.542,87.27582054853907
2025-09-17,2025-10-14 10:00:00,86.903,88.63682060957423
2025-09-17,2025-10-14 10:00:00,87.241,88.97481804609767
2025-09-17,2025-10-14 10:00:00,86.95,88.51364880846528
2025-09-17,2025-10-14 10:00:00,86.297,87.7874233474216
2025-09-17,2025-10-14 10:00:00,85.236,86.72642633814425
2025-09-17,2025-10-14 10:00:00,84.711,86.20142481226534
2025-09-17,2025-10-14 10:00:00,83.098,84.588425849863
2025-09-17,2025-10-14 10:00:00,81.775,83.265427802988
2025-09-17,2025-10-14 10:00:00,80.651,78.37479192150677
2025-09-17,2025-10-14 10:00:00,79.624,74.93900006980084
2025-09-17,2025-10-14 10:00:00,78.565,73.88000196189068
2025-09-17,2025-10-14 10:00:00,77.419,72.73399823874615
2025-09-17,2025-10-14 10:00:00,76.369,71.55635632594975
2025-09-17,2025-10-14 10:00:00,75.21,69.85596286274067
2025-09-17,2025-10-14 10:00:00,73.916,68.11630870824499
2025-09-17,2025-10-14 10:00:00,72.987,67.1873078537528
2025-09-17,2025-10-14 10:00:00,72.743,66.94330455785436
2025-09-17,2025-10-14 10:00:00,71.909,66.1093049240653
2025-09-17,2025-10-14 10:00:00,70.266,64.46630718236608
2025-09-17,2025-10-14 10:00:00,68.173,62.37330486303015
2025-09-17,2025-10-14 10:00:00,65.631,62.280975979301026
2025-09-17,2025-10-14 10:00:00,62.769,65.4734272300997
2025-09-17,2025-10-14 10:00:00,60.688,63.392425948361414
2025-09-17,2025-10-14 10:00:00,59.982,62.68642466662313
2025-09-17,2025-10-14 10:00:00,60.016,63.72816470907262
2025-09-17,2025-10-14 10:00:00,60.366,66.86099992590177
2025-09-17,2025-10-14 10:00:00,60.763,67.25799928503262
2025-09-17,2025-10-14 10:00:00,60.938,67.43299852209317
2025-09-17,2025-10-14 10:00:00,61.542,68.0369986136459
2025-09-17,2025-10-14 10:00:00,62.548,69.04299913244473
2025-09-17,2025-10-14 10:00:00,63.809,70.30399690466153
2025-09-17,2025-10-14 10:00:00,65.741,69.64652614702028
2025-09-17,2025-10-14 10:00:00,68.749,71.44077236995591
2025-09-17,2025-10-14 10:00:00,71.781,74.47277005061997
2025-09-17,2025-10-14 10:00:00,74.087,77.19482190613067
2025-09-17,2025-10-14 10:00:00,76.026,80.21649104782028
2025-09-17,2025-10-14 10:00:00,77.716,82.31508945846718
2025-09-17,2025-10-14 10:00:00,78.611,83.21008610153359
2025-09-17,2025-10-14 10:00:00,78.85,83.44908451461953
2025-09-17,2025-10-14 10:00:00,79.963,84.56208347702187
2025-09-17,2025-10-14 10:00:00,81.698,86.29708408737343
