ymd,hm,theta_origin,theta_next
2025-05-17,2025-10-14 15:00:00,69.953,70.15132886164115
2025-05-17,2025-10-14 15:00:00,70.771,70.96932965509818
2025-05-17,2025-10-14 15:00:00,71.173,71.37132245294974
2025-05-17,2025-10-14 15:00:00,71.101,69.71288514023048
2025-05-17,2025-10-14 15:00:00,70.409,67.0414339494794
2025-05-17,2025-10-14 15:00:00,68.929,65.56143822194034
2025-05-17,2025-10-14 15:00:00,66.682,63.31443657399112
2025-05-17,2025-10-14 15:00:00,64.41,61.04244102955752
2025-05-17,2025-10-14 15:00:00,62.612,58.68293783765961
2025-05-17,2025-10-14 15:00:00,61.426,56.85261045627436
2025-05-17,2025-10-14 15:00:00,60.786,56.212611066625925
2025-05-17,2025-10-14 15:00:00,60.667,56.09361158542475
2025-05-17,2025-10-14 15:00:00,60.328,55.754610883520456
2025-05-17,2025-10-14 15:00:00,59.813,55.23961149387202
2025-05-17,2025-10-14 15:00:00,59.591,55.017611371801706
2025-05-17,2025-10-14 15:00:00,59.424,58.31059036241021
2025-05-17,2025-10-14 15:00:00,58.633,61.38266989526754
2025-05-17,2025-10-14 15:00:00,57.175,59.92466971216207
2025-05-17,2025-10-14 15:00:00,55.933,58.68266913232809
2025-05-17,2025-10-14 15:00:00,54.89,58.251070822709664
2025-05-17,2025-10-14 15:00:00,53.942,58.364708861182436
2025-05-17,2025-10-14 15:00:00,53.32,57.74270721323322
2025-05-17,2025-10-14 15:00:00,53.204,57.62670608408283
2025-05-17,2025-10-14 15:00:00,52.613,57.03570648081134
2025-05-17,2025-10-14 15:00:00,51.783,56.20570846445392
2025-05-17,2025-10-14 15:00:00,50.989,55.411705931494936
2025-05-17,2025-10-14 15:00:00,49.946,53.81190544759927
2025-05-17,2025-10-14 15:00:00,48.994,52.12902732725663
2025-05-17,2025-10-14 15:00:00,49.178,52.31302924986405
2025-05-17,2025-10-14 15:00:00,50.001,53.304462384204896
2025-05-17,2025-10-14 15:00:00,51.01,54.7500500262445
2025-05-17,2025-10-14 15:00:00,52.05,55.790050941771845
2025-05-17,2025-10-14 15:00:00,52.591,56.33105130798278
2025-05-17,2025-10-14 15:00:00,52.7,56.44005246765075
2025-05-17,2025-10-14 15:00:00,53.456,57.19605298644958
2025-05-17,2025-10-14 15:00:00,54.776,58.5160526812738
2025-05-17,2025-10-14 15:00:00,56.652,58.54070288947784
2025-05-17,2025-10-14 15:00:00,59.17,57.88472728134537
2025-05-17,2025-10-14 15:00:00,62.093,60.065011939061954
2025-05-17,2025-10-14 15:00:00,64.523,62.495016058935
2025-05-17,2025-10-14 15:00:00,66.362,65.12000362130495
2025-05-17,2025-10-14 15:00:00,67.776,67.97432690851615
2025-05-17,2025-10-14 15:00:00,68.929,69.12732678644583
2025-05-17,2025-10-14 15:00:00,70.358,70.55632764093802
2025-05-17,2025-10-14 15:00:00,70.964,71.16232281916068
2025-05-17,2025-10-14 15:00:00,71.142,71.34032422296927
2025-05-17,2025-10-14 15:00:00,70.792,67.88854986018859
2025-05-17,2025-10-14 15:00:00,69.768,66.40043510914737
2025-05-17,2025-10-14 15:00:00,67.942,64.57443871022159
2025-05-17,2025-10-14 15:00:00,65.671,62.303434987077054
2025-05-17,2025-10-14 15:00:00,63.597,59.92654452304245
2025-05-17,2025-10-14 15:00:00,61.989,57.73132768200841
2025-05-17,2025-10-14 15:00:00,60.972,56.398611890600534
2025-05-17,2025-10-14 15:00:00,60.562,55.988612043188425
2025-05-17,2025-10-14 15:00:00,60.388,55.81461225681147
2025-05-17,2025-10-14 15:00:00,59.76,55.186610090063425
2025-05-17,2025-10-14 15:00:00,59.226,54.652613508032175
2025-05-17,2025-10-14 15:00:00,59.051,54.47761045627436
2025-05-17,2025-10-14 15:00:00,58.735,60.45525442943996
2025-05-17,2025-10-14 15:00:00,57.615,60.36467215356832
2025-05-17,2025-10-14 15:00:00,56.374,59.12367102441793
2025-05-17,2025-10-14 15:00:00,55.273,58.02266928491598
2025-05-17,2025-10-14 15:00:00,54.281,57.98607174631682
2025-05-17,2025-10-14 15:00:00,53.441,57.86370941049884
