U_Divisions,V_Divisions,t_parameter,Node_ID,Date_월일,Date_시간,Node_X,Node_Y,Node_Z,외피_ModuleShape_edge개수,외피_ModuleShape_둘레(m),외피_ModuleShape_면적(m2),열림각도,운동장_태양복사열,관중석_1 태양복사열,관중석_2 태양복사열,관중석 합산 태양복사열
42,86,0.65,0,2025-3-9,08:00,-5.061,-488.49,106.545,,,,,,,,
42,86,0.65,1,2025-3-9,08:00,0,0,0,,,,,,,,
42,86,0.65,2,2025-3-9,08:00,0,65.939,53.101,4,20.692,25.465,4.494,689.909,927.905,1274.708,2202.613
42,86,0.65,3,2025-3-9,08:00,-9.444,65.001,52.63,5,22.345,29.728,5.895,689.909,927.905,1274.708,2202.613
42,86,0.65,4,2025-3-9,08:00,-19.722,62.018,52.892,5,24.202,34.701,8.597,689.909,927.905,1274.708,2202.613
42,86,0.65,5,2025-3-9,08:00,-30.466,57.555,53.059,5,25.652,38.69,11.853,689.909,927.905,1274.708,2202.613
42,86,0.65,6,2025-3-9,08:00,-40.839,51.334,53.257,5,26.522,41.054,15.766,689.909,927.905,1274.708,2202.613
42,86,0.65,7,2025-3-9,08:00,-49.904,43.617,53.529,5,26.771,41.574,20.672,689.909,927.905,1274.708,2202.613
42,86,0.65,8,2025-3-9,08:00,-56.799,34.932,53.926,5,26.594,40.73,26.418,689.909,927.905,1274.708,2202.613
42,86,0.65,9,2025-3-9,08:00,-61.404,26.11,54.357,5,26.14,38.58,31.298,689.909,927.905,1274.708,2202.613
42,86,0.65,10,2025-3-9,08:00,-64.072,17.925,54.696,5,25.227,34.461,35.067,689.909,927.905,1274.708,2202.613
42,86,0.65,11,2025-3-9,08:00,-65.297,10.789,54.853,5,23.998,29.435,37.912,689.909,927.905,1274.708,2202.613
42,86,0.65,12,2025-3-9,08:00,-66.606,4.515,55.053,4,23.051,25.985,39.685,689.909,927.905,1274.708,2202.613
42,86,0.65,13,2025-3-9,08:00,-66.627,-1.501,55.049,4,22.838,25.274,40.164,689.909,927.905,1274.708,2202.613
42,86,0.65,14,2025-3-9,08:00,-65.372,-7.651,54.999,5,23.755,28.689,41.604,689.909,927.905,1274.708,2202.613
42,86,0.65,15,2025-3-9,08:00,-64.149,-14.853,55.14,5,25.659,36.276,44.326,689.909,927.905,1274.708,2202.613
42,86,0.65,16,2025-3-9,08:00,-61.259,-23.975,55.087,5,27.963,45.581,47.788,689.909,927.905,1274.708,2202.613
42,86,0.65,17,2025-3-9,08:00,-55.975,-34.582,54.816,5,29.14,49.846,52.883,689.909,927.905,1274.708,2202.613
42,86,0.65,18,2025-3-9,08:00,-47.968,-44.788,54.427,5,28.995,48.918,60.475,689.909,927.905,1274.708,2202.613
42,86,0.65,19,2025-3-9,08:00,-37.673,-52.709,54.117,5,27.743,44.86,68.6,689.909,927.905,1274.708,2202.613
42,86,0.65,20,2025-3-9,08:00,-26.731,-57.996,53.92,5,25.296,37.739,73.855,689.909,927.905,1274.708,2202.613
42,86,0.65,21,2025-3-9,08:00,-17.019,-61.003,53.777,5,21.966,28.482,76.873,689.909,927.905,1274.708,2202.613
42,86,0.65,22,2025-3-9,08:00,-9.354,-62.365,53.653,5,19.265,21.34,78.554,689.909,927.905,1274.708,2202.613
42,86,0.65,23,2025-3-9,08:00,-3.036,-63.441,53.971,4,17.906,17.932,79.01,689.909,927.905,1274.708,2202.613
42,86,0.65,24,2025-3-9,08:00,3.036,-63.441,53.971,4,17.906,17.932,78.98,689.909,927.905,1274.708,2202.613
42,86,0.65,25,2025-3-9,08:00,9.119,-59.997,54.416,5,19.265,21.34,78.372,689.909,927.905,1274.708,2202.613
42,86,0.65,26,2025-3-9,08:00,17.745,-64.206,52.715,5,21.966,28.482,76.521,689.909,927.905,1274.708,2202.613
42,86,0.65,27,2025-3-9,08:00,27.92,-61.154,52.803,5,25.296,37.739,73.387,689.909,927.905,1274.708,2202.613
42,86,0.65,28,2025-3-9,08:00,39.415,-55.618,52.867,5,27.743,44.86,68.069,689.909,927.905,1274.708,2202.613
42,86,0.65,29,2025-3-9,08:00,50.254,-47.078,52.873,5,28.995,48.918,59.936,689.909,927.905,1274.708,2202.613
42,86,0.65,30,2025-3-9,08:00,58.475,-36.148,52.808,5,29.14,49.846,52.38,689.909,927.905,1274.708,2202.613
42,86,0.65,31,2025-3-9,08:00,63.692,-24.972,52.732,5,27.963,45.581,47.334,689.909,927.905,1274.708,2202.613
42,86,0.65,32,2025-3-9,08:00,66.413,-15.397,52.675,5,25.659,36.276,43.907,689.909,927.905,1274.708,2202.613
42,86,0.65,33,2025-3-9,08:00,67.449,-7.838,52.627,5,23.755,28.689,41.203,689.909,927.905,1274.708,2202.613
42,86,0.65,34,2025-3-9,08:00,68.273,-1.51,53.144,4,22.838,25.274,39.772,689.909,927.905,1274.708,2202.613
42,86,0.65,35,2025-3-9,08:00,68.249,4.56,53.157,4,23.051,25.985,39.297,689.909,927.905,1274.708,2202.613
42,86,0.65,36,2025-3-9,08:00,67.244,11.044,52.651,5,23.998,29.435,37.525,689.909,927.905,1274.708,2202.613
42,86,0.65,37,2025-3-9,08:00,65.938,18.465,52.703,5,25.227,34.461,34.673,689.909,927.905,1274.708,2202.613
42,86,0.65,38,2025-3-9,08:00,63.072,26.911,52.758,5,26.14,38.58,30.887,689.909,927.905,1274.708,2202.613
42,86,0.65,39,2025-3-9,08:00,58.13,35.893,52.816,5,26.594,40.73,25.984,689.909,927.905,1274.708,2202.613
42,86,0.65,40,2025-3-9,08:00,49.922,43.636,53.515,5,26.771,41.574,20.22,689.909,927.905,1274.708,2202.613
42,86,0.65,41,2025-3-9,08:00,40.854,51.357,53.245,5,26.522,41.054,15.309,689.909,927.905,1274.708,2202.613
42,86,0.65,42,2025-3-9,08:00,30.78,58.217,52.8,5,25.652,38.69,11.406,689.909,927.905,1274.708,2202.613
42,86,0.65,43,2025-3-9,08:00,19.878,62.512,52.724,5,24.202,34.701,8.191,689.909,927.905,1274.708,2202.613
42,86,0.65,44,2025-3-9,08:00,9.444,65.001,52.63,5,22.345,29.728,5.602,689.909,927.905,1274.708,2202.613
42,86,0.65,45,2025-3-9,08:00,-4.752,66.607,55.72,6,35.592,53.894,5.255,689.909,927.905,1274.708,2202.613
42,86,0.65,46,2025-3-9,08:00,-14.887,64.289,56.187,6,38.523,63.937,7.422,689.909,927.905,1274.708,2202.613
42,86,0.65,47,2025-3-9,08:00,-25.8,60.588,56.506,6,41.082,72.784,10.273,689.909,927.905,1274.708,2202.613
42,86,0.65,48,2025-3-9,08:00,-36.773,55.055,56.841,6,43.022,79.125,13.63,689.909,927.905,1274.708,2202.613
42,86,0.65,49,2025-3-9,08:00,-46.938,47.864,57.231,6,44.22,82.108,17.719,689.909,927.905,1274.708,2202.613
42,86,0.65,50,2025-3-9,08:00,-55.335,39.422,57.763,6,44.79,81.924,22.846,689.909,927.905,1274.708,2202.613
42,86,0.65,51,2025-3-9,08:00,-61.432,30.466,58.411,6,44.987,79.185,28.007,689.909,927.905,1274.708,2202.613
42,86,0.65,52,2025-3-9,08:00,-65.343,21.856,59.009,6,44.603,72.964,32.364,689.909,927.905,1274.708,2202.613
42,86,0.65,53,2025-3-9,08:00,-67.383,14.226,59.386,6,43.292,63.012,36.034,689.909,927.905,1274.708,2202.613
42,86,0.65,54,2025-3-9,08:00,-68.112,7.613,59.485,6,41.753,54.278,38.762,689.909,927.905,1274.708,2202.613
42,86,0.65,55,2025-3-9,08:00,-68.221,1.515,59.457,6,40.815,49.908,40.069,689.909,927.905,1274.708,2202.613
42,86,0.65,56,2025-3-9,08:00,-68.103,-4.546,59.568,6,41.302,52.332,40.774,689.909,927.905,1274.708,2202.613
42,86,0.65,57,2025-3-9,08:00,-67.266,-11.032,59.913,6,43.288,63.376,43.335,689.909,927.905,1274.708,2202.613
42,86,0.65,58,2025-3-9,08:00,-64.938,-18.977,60.116,6,46.167,81.742,46.836,689.909,927.905,1274.708,2202.613
42,86,0.65,59,2025-3-9,08:00,-60.303,-28.837,59.926,6,48.156,96.233,51.129,689.909,927.905,1274.708,2202.613
42,86,0.65,60,2025-3-9,08:00,-52.989,-39.273,59.432,6,48.188,99.272,57.205,689.909,927.905,1274.708,2202.613
42,86,0.65,61,2025-3-9,08:00,-43.322,-48.171,58.832,6,46.585,93.564,65.277,689.909,927.905,1274.708,2202.613
42,86,0.65,62,2025-3-9,08:00,-32.321,-54.659,58.342,6,43.584,82.133,71.614,689.909,927.905,1274.708,2202.613
42,86,0.65,63,2025-3-9,08:00,-21.762,-58.775,57.984,6,39.215,65.48,75.552,689.909,927.905,1274.708,2202.613
42,86,0.65,64,2025-3-9,08:00,-13.078,-60.954,57.684,6,34.597,48.215,77.864,689.909,927.905,1274.708,2202.613
42,86,0.65,65,2025-3-9,08:00,-6.197,-61.838,57.452,6,31.695,37.996,78.919,689.909,927.905,1274.708,2202.613
42,86,0.65,66,2025-3-9,08:00,0,-62.037,57.361,6,30.702,34.68,79.025,689.909,927.905,1274.708,2202.613
42,86,0.65,67,2025-3-9,08:00,6.198,-61.84,57.451,6,31.695,37.996,78.821,689.909,927.905,1274.708,2202.613
42,86,0.65,68,2025-3-9,08:00,13.898,-66.032,55.956,6,34.597,48.215,77.587,689.909,927.905,1274.708,2202.613
42,86,0.65,69,2025-3-9,08:00,23.29,-63.918,56.143,6,39.215,65.48,75.132,689.909,927.905,1274.708,2202.613
42,86,0.65,70,2025-3-9,08:00,34.673,-59.63,56.319,6,43.584,82.133,71.107,689.909,927.905,1274.708,2202.613
42,86,0.65,71,2025-3-9,08:00,46.615,-52.53,56.406,6,46.585,93.564,64.738,689.909,927.905,1274.708,2202.613
42,86,0.65,72,2025-3-9,08:00,57.002,-42.509,56.315,6,48.188,99.272,56.683,689.909,927.905,1274.708,2202.613
42,86,0.65,73,2025-3-9,08:00,64.419,-31.027,56.137,6,48.156,96.233,50.654,689.909,927.905,1274.708,2202.613
42,86,0.65,74,2025-3-9,08:00,68.821,-20.306,55.983,6,46.167,81.742,46.405,689.909,927.905,1274.708,2202.613
42,86,0.65,75,2025-3-9,08:00,70.801,-11.633,55.865,6,43.288,63.376,42.931,689.909,927.905,1274.708,2202.613
42,86,0.65,76,2025-3-9,08:00,71.342,-4.668,55.772,6,41.302,52.332,40.382,689.909,927.905,1274.708,2202.613
42,86,0.65,77,2025-3-9,08:00,71.379,1.53,55.748,6,40.815,49.908,39.682,689.909,927.905,1274.708,2202.613
42,86,0.65,78,2025-3-9,08:00,71.259,7.849,55.815,6,41.753,54.278,38.38,689.909,927.905,1274.708,2202.613
42,86,0.65,79,2025-3-9,08:00,70.444,14.891,55.927,6,43.292,63.012,35.652,689.909,927.905,1274.708,2202.613
42,86,0.65,80,2025-3-9,08:00,68.176,22.995,56.047,6,44.603,72.964,31.97,689.909,927.905,1274.708,2202.613
42,86,0.65,81,2025-3-9,08:00,63.836,31.949,56.181,6,44.987,79.185,27.592,689.909,927.905,1274.708,2202.613
42,86,0.65,82,2025-3-9,08:00,55.366,39.449,57.738,6,44.79,81.924,22.41,689.909,927.905,1274.708,2202.613
42,86,0.65,83,2025-3-9,08:00,46.965,47.898,57.211,6,44.22,82.108,17.271,689.909,927.905,1274.708,2202.613
42,86,0.65,84,2025-3-9,08:00,37.453,56.268,56.288,6,43.022,79.125,13.185,689.909,927.905,1274.708,2202.613
42,86,0.65,85,2025-3-9,08:00,26.167,61.524,56.15,6,41.082,72.784,9.853,689.909,927.905,1274.708,2202.613
42,86,0.65,86,2025-3-9,08:00,15.052,64.973,55.951,6,38.523,63.937,7.07,689.909,927.905,1274.708,2202.613
42,86,0.65,87,2025-3-9,08:00,4.752,66.607,55.72,6,35.592,53.894,5.086,689.909,927.905,1274.708,2202.613
42,86,0.65,88,2025-3-9,08:00,0,68.505,60.717,6,34.327,50.524,5.539,689.909,927.905,1274.708,2202.613
42,86,0.65,89,2025-3-9,08:00,-10.179,67.13,61.242,6,36.627,58.382,6.839,689.909,927.905,1274.708,2202.613
42,86,0.65,90,2025-3-9,08:00,-21.381,64.327,61.731,6,39.312,67.408,9.223,689.909,927.905,1274.708,2202.613
42,86,0.65,91,2025-3-9,08:00,-33.101,59.614,62.187,6,41.51,74.72,12.049,689.909,927.905,1274.708,2202.613
42,86,0.65,92,2025-3-9,08:00,-44.582,53.093,62.61,6,43.026,79.363,15.383,689.909,927.905,1274.708,2202.613
42,86,0.65,93,2025-3-9,08:00,-54.92,45.04,63.038,6,43.839,81.02,19.485,689.909,927.905,1274.708,2202.613
42,86,0.65,94,2025-3-9,08:00,-63.241,35.982,63.522,6,44.124,80.006,24.312,689.909,927.905,1274.708,2202.613
42,86,0.65,95,2025-3-9,08:00,-69.18,26.785,64.008,6,43.88,75.651,28.874,689.909,927.905,1274.708,2202.613
42,86,0.65,96,2025-3-9,08:00,-72.727,18.327,64.403,6,42.82,67.067,33.142,689.909,927.905,1274.708,2202.613
42,86,0.65,97,2025-3-9,08:00,-74.223,11.072,64.568,6,41.252,57.109,37.005,689.909,927.905,1274.708,2202.613
