U_Divisions,V_Divisions,t_parameter,Node_ID,Date_월일,Date_시간,Node_X,Node_Y,Node_Z,외피_ModuleShape_edge개수,외피_ModuleShape_둘레(m),외피_ModuleShape_면적(m2),열림각도,운동장_태양복사열,관중석_1 태양복사열,관중석_2 태양복사열,관중석 합산 태양복사열
42,86,0.65,0,2025-3-11,08:00,-0.536,-487.376,111.644,,,,,,,,
42,86,0.65,1,2025-3-11,08:00,0,0,0,,,,,,,,
42,86,0.65,2,2025-3-11,08:00,0,65.939,53.101,4,20.692,25.465,3.652,798.681,1086.61,1488.694,2575.304
42,86,0.65,3,2025-3-11,08:00,-9.444,65.001,52.63,5,22.345,29.728,4.979,798.681,1086.61,1488.694,2575.304
42,86,0.65,4,2025-3-11,08:00,-19.738,62.068,52.875,5,24.202,34.701,7.697,798.681,1086.61,1488.694,2575.304
42,86,0.65,5,2025-3-11,08:00,-30.488,57.602,53.04,5,25.652,38.69,10.979,798.681,1086.61,1488.694,2575.304
42,86,0.65,6,2025-3-11,08:00,-40.867,51.377,53.236,5,26.522,41.054,14.917,798.681,1086.61,1488.694,2575.304
42,86,0.65,7,2025-3-11,08:00,-49.937,43.652,53.504,5,26.771,41.574,19.848,798.681,1086.61,1488.694,2575.304
42,86,0.65,8,2025-3-11,08:00,-56.835,34.958,53.896,5,26.594,40.73,25.622,798.681,1086.61,1488.694,2575.304
42,86,0.65,9,2025-3-11,08:00,-61.44,26.128,54.322,5,26.14,38.58,30.525,798.681,1086.61,1488.694,2575.304
42,86,0.65,10,2025-3-11,08:00,-64.107,17.935,54.659,5,25.227,34.461,34.312,798.681,1086.61,1488.694,2575.304
42,86,0.65,11,2025-3-11,08:00,-65.329,10.794,54.817,5,23.998,29.435,37.171,798.681,1086.61,1488.694,2575.304
42,86,0.65,12,2025-3-11,08:00,-66.632,4.516,55.024,4,23.051,25.985,38.951,798.681,1086.61,1488.694,2575.304
42,86,0.65,13,2025-3-11,08:00,-66.652,-1.501,55.02,4,22.838,25.274,39.428,798.681,1086.61,1488.694,2575.304
42,86,0.65,14,2025-3-11,08:00,-65.402,-7.654,54.965,5,23.755,28.689,40.872,798.681,1086.61,1488.694,2575.304
42,86,0.65,15,2025-3-11,08:00,-64.178,-14.86,55.108,5,25.659,36.276,43.606,798.681,1086.61,1488.694,2575.304
42,86,0.65,16,2025-3-11,08:00,-61.286,-23.986,55.061,5,27.963,45.581,47.084,798.681,1086.61,1488.694,2575.304
42,86,0.65,17,2025-3-11,08:00,-55.997,-34.596,54.799,5,29.14,49.846,52.206,798.681,1086.61,1488.694,2575.304
42,86,0.65,18,2025-3-11,08:00,-47.982,-44.802,54.418,5,28.995,48.918,59.842,798.681,1086.61,1488.694,2575.304
42,86,0.65,19,2025-3-11,08:00,-37.68,-52.72,54.112,5,27.743,44.86,68.007,798.681,1086.61,1488.694,2575.304
42,86,0.65,20,2025-3-11,08:00,-26.734,-58.006,53.917,5,25.296,37.739,73.285,798.681,1086.61,1488.694,2575.304
42,86,0.65,21,2025-3-11,08:00,-17.02,-61.01,53.775,5,21.966,28.482,76.33,798.681,1086.61,1488.694,2575.304
42,86,0.65,22,2025-3-11,08:00,-9.355,-62.371,53.651,5,19.265,21.34,78.065,798.681,1086.61,1488.694,2575.304
42,86,0.65,23,2025-3-11,08:00,-3.036,-63.445,53.97,4,17.906,17.932,78.581,798.681,1086.61,1488.694,2575.304
42,86,0.65,24,2025-3-11,08:00,3.036,-63.445,53.97,4,17.906,17.932,78.578,798.681,1086.61,1488.694,2575.304
42,86,0.65,25,2025-3-11,08:00,9.12,-60.003,54.414,5,19.265,21.34,78.046,798.681,1086.61,1488.694,2575.304
42,86,0.65,26,2025-3-11,08:00,17.745,-64.206,52.715,5,21.966,28.482,76.294,798.681,1086.61,1488.694,2575.304
42,86,0.65,27,2025-3-11,08:00,27.92,-61.154,52.803,5,25.296,37.739,73.236,798.681,1086.61,1488.694,2575.304
42,86,0.65,28,2025-3-11,08:00,39.415,-55.618,52.867,5,27.743,44.86,67.95,798.681,1086.61,1488.694,2575.304
42,86,0.65,29,2025-3-11,08:00,50.254,-47.078,52.873,5,28.995,48.918,59.784,798.681,1086.61,1488.694,2575.304
42,86,0.65,30,2025-3-11,08:00,58.475,-36.148,52.808,5,29.14,49.846,52.152,798.681,1086.61,1488.694,2575.304
42,86,0.65,31,2025-3-11,08:00,63.692,-24.972,52.732,5,27.963,45.581,47.035,798.681,1086.61,1488.694,2575.304
42,86,0.65,32,2025-3-11,08:00,66.413,-15.397,52.675,5,25.659,36.276,43.561,798.681,1086.61,1488.694,2575.304
42,86,0.65,33,2025-3-11,08:00,67.449,-7.838,52.627,5,23.755,28.689,40.829,798.681,1086.61,1488.694,2575.304
42,86,0.65,34,2025-3-11,08:00,68.273,-1.51,53.144,4,22.838,25.274,39.386,798.681,1086.61,1488.694,2575.304
42,86,0.65,35,2025-3-11,08:00,68.249,4.56,53.157,4,23.051,25.985,38.909,798.681,1086.61,1488.694,2575.304
42,86,0.65,36,2025-3-11,08:00,67.244,11.044,52.651,5,23.998,29.435,37.13,798.681,1086.61,1488.694,2575.304
42,86,0.65,37,2025-3-11,08:00,65.938,18.465,52.703,5,25.227,34.461,34.27,798.681,1086.61,1488.694,2575.304
42,86,0.65,38,2025-3-11,08:00,63.072,26.911,52.758,5,26.14,38.58,30.481,798.681,1086.61,1488.694,2575.304
42,86,0.65,39,2025-3-11,08:00,58.13,35.893,52.816,5,26.594,40.73,25.576,798.681,1086.61,1488.694,2575.304
42,86,0.65,40,2025-3-11,08:00,49.939,43.655,53.503,5,26.771,41.574,19.799,798.681,1086.61,1488.694,2575.304
42,86,0.65,41,2025-3-11,08:00,40.869,51.379,53.234,5,26.522,41.054,14.868,798.681,1086.61,1488.694,2575.304
42,86,0.65,42,2025-3-11,08:00,30.78,58.217,52.8,5,25.652,38.69,10.931,798.681,1086.61,1488.694,2575.304
42,86,0.65,43,2025-3-11,08:00,19.878,62.512,52.724,5,24.202,34.701,7.653,798.681,1086.61,1488.694,2575.304
